q,Kc,Kw,seed,arm,n,m,full,df_C,df_W,I,P,C,W
8,8,1,29,real,1468,10,0.22436066290044088,80,1478,0.12480626114785648,0.12941874920651836,0.016398115996847457,-0.04626246345078143
8,8,2,11,real,1468,10,0.16586741345757827,80,2956,0.1292053870034987,0.11252388502368378,0.015084289651250471,-0.09094614822085469
8,8,2,29,real,1468,10,0.18464704684432653,80,2956,0.1229172888578509,0.144805915499959,0.00933892303416182,-0.09241508054764518
8,8,4,11,real,1468,10,0.17158935423091737,80,5912,0.13113263421324448,0.1214600406805767,0.017622893992610043,-0.09862621465551386
8,8,4,29,real,1468,10,0.1847128182904264,80,5912,0.12318819791815824,0.1527585185341105,0.013889912660106233,-0.10512381082194859
13,1,0,11,perm,8648,19,0.43742035701816673,19,0,0.32291216737222417,0.1143421422152603,0.00016604743068223313,0.0
13,1,0,29,perm,8648,19,0.43363114164243965,19,0,0.31897420136656374,0.11487055732983448,-0.00021361705395859612,0.0
13,1,0,11,real,8648,19,0.4432273530161397,19,0,0.3225589715391767,0.11463446560955273,0.006033915867410311,0.0
13,1,0,29,real,8648,19,0.438709592890252,19,0,0.31878516420944636,0.11465592447683816,0.0052685042039674794,0.0
13,1,1,11,real,8648,19,0.4215462730621895,19,8667,0.31195617910218143,0.11780365844191314,0.006156895262158689,-0.014370459744063806
13,1,1,29,real,8648,19,0.41907824687243933,19,8667,0.30845415916320873,0.11732057870223092,0.005480530528435214,-0.012177021521435544
13,1,2,11,real,8648,19,0.396131936946567,19,17334,0.31231395728869804,0.12154062328989264,0.0058891713283702645,-0.04361181496039396
13,1,2,29,real,8648,19,0.39174520858270745,19,17334,0.3089362762782034,0.12165402721269175,0.0050107636439020165,-0.04385585855208971
13,1,4,11,real,8648,19,0.3545976244498912,19,34668,0.31402715014986754,0.11890346954713354,0.005532192880629783,-0.08386518812773973
13,1,4,29,real,8648,19,0.35732927962247774,19,34668,0.30942031916940055,0.11858989022580971,0.004588914005780449,-0.07526984377851298
13,2,0,11,perm,8648,19,0.43731794395914425,38,0,0.3228737141618032,0.11436162308203662,8.26067153044304e-05,0.0
13,2,0,29,perm,8648,19,0.43359666658845564,38,0,0.31893946528431283,0.114852716649607,-0.00019551534546424773,0.0
13,2,0,11,real,8648,19,0.4445427590898088,38,0,0.32250499487723966,0.1149369026976104,0.0071008615149587,0.0
13,2,0,29,real,8648,19,0.4400260260788198,38,0,0.3188427155446038,0.11474701644721937,0.006436294086996567,0.0
13,2,1,11,real,8648,19,0.42259559765172217,38,8667,0.3119861699491896,0.11818706562594826,0.007008331365177599,-0.014585969288593285
13,2,1,29,real,8648,19,0.4198724258834514,38,8667,0.30853716861825553,0.1175527874464506,0.006303905875822551,-0.012521436057077293
13,2,2,11,real,8648,19,0.3974999674176516,38,17334,0.31238718856103453,0.12197105515959927,0.006854827816665179,-0.043713104119647433
13,2,2,29,real,8648,19,0.39306341887006346,38,17334,0.3090789637943645,0.12182943692300223,0.006094715115858768,-0.043939696963162043
13,2,4,11,real,8648,19,0.35622730396128144,38,34668,0.31405191344501115,0.11922721754114785,0.006706249815520167,-0.08375807684039772
13,2,4,29,real,8648,19,0.35902090744640025,38,34668,0.3095274295039664,0.11871626226934755,0.00590188167020438,-0.07512466599711815
13,4,0,11,perm,8648,19,0.4369083838716228,76,0,0.32283688824757834,0.11439878021698371,-0.00032728459293925505,0.0
13,4,0,29,perm,8648,19,0.4334691783667406,76,0,0.3188637421715319,0.11489380095766351,-0.0002883647624548994,0.0
13,4,0,11,real,8648,19,0.45181743066992,76,0,0.321662869494184,0.11532291113291816,0.014831650042817852,0.0
13,4,0,29,real,8648,19,0.4478324001963965,76,0,0.31826427698913484,0.11463001123607151,0.014938111971190104,0.0
13,4,1,11,real,8648,19,0.424356796742397,76,8667,0.3112232738500336,0.11915305053526351,0.011652780769364952,-0.01767230841226508
13,4,1,29,real,8648,19,0.42293498835236454,76,8667,0.3078304602437749,0.11833852367827485,0.012046582123704077,-0.015280577693389308
13,4,2,11,real,8648,19,0.39950804952634555,76,17334,0.3115497568213722,0.12301708963428243,0.011619961767431353,-0.04667875869674041
13,4,2,29,real,8648,19,0.3968396900858162,76,17334,0.3085320692554055,0.12257197997512795,0.012135935409248557,-0.0464002945539658
13,4,4,11,real,8648,19,0.3593938684225645,76,34668,0.31345910950949285,0.12005600067618963,0.012036936710329514,-0.08615817847344753
13,4,4,29,real,8648,19,0.3632455917116634,76,34668,0.3090729977466299,0.11961746135979912,0.012041749078375186,-0.07748661647314087
13,8,0,11,perm,8648,19,0.43675353830906105,152,0,0.32279779491095106,0.11441802602304149,-0.00046228262493149447,0.0
13,8,0,29,perm,8648,19,0.43318890963304135,152,0,0.3188079725757841,0.11496908172159642,-0.000588144664339189,0.0
13,8,0,11,real,8648,19,0.4542886657311488,152,0,0.3219622776572028,0.11507722840499804,0.017249159668947946,0.0
13,8,0,29,real,8648,19,0.4515201717728562,152,0,0.31772539239133585,0.11436321633163571,0.01943156304988458,0.0
13,8,1,11,real,8648,19,0.42494487946839754,152,8667,0.31151398093785576,0.11922205570637215,0.012975720815964875,-0.01876687799179525
13,8,1,29,real,8648,19,0.4254289015192032,152,8667,0.3075132674533043,0.11835559094525834,0.015690327008214183,-0.016130283887573676
13,8,2,11,real,8648,19,0.4006346235469035,152,17334,0.3117761432890048,0.12316231362702283,0.013206198360588877,-0.04751003172971298
13,8,2,29,real,8648,19,0.3996411418784248,152,17334,0.308179844353799,0.12269420733017365,0.015898385618180466,-0.04713129542372836
13,8,4,11,real,8648,19,0.35965523624862195,152,34668,0.31370612303123774,0.12029854243488401,0.013131597796203664,-0.08748102701370349
13,8,4,29,real,8648,19,0.3656864582366971,152,34668,0.30865840021347973,0.11998931362002499,0.015530280516701432,-0.07849153611350909
17,1,0,11,perm,1367,10,0.1586795382082169,10,0,0.20153555111796623,-0.042377730504122225,-0.000478282405627121,0.0
17,1,0,29,perm,1367,10,0.19048840069062178,10,0,0.195560206521611,-0.004042775474618232,-0.0010290303563709746,0.0
17,1,0,11,real,1367,10,0.170615389469448,10,0,0.20073561542243706,-0.041629183061600995,0.011508957108611901,0.0
17,1,0,29,real,1367,10,0.20325649339268703,10,0,0.1951216920572967,-0.0001744413754825036,0.0083092427108728,0.0
17,1,1,11,real,1367,10,0.08662362260482703,10,1377,0.1905021756137082,-0.03185529634566604,0.016151973287692002,-0.08817522995090712
17,1,1,29,real,1367,10,0.12816043458998405,10,1377,0.18927095052811338,0.010240507354861261,0.0123159485551332,-0.08366697184812381
17,1,2,11,real,1367,10,0.06969714042658381,10,2754,0.19002763933176153,-0.02000653235322809,0.0078057161425611945,-0.10812968269451083
17,1,2,29,real,1367,10,0.07594665446926385,10,2754,0.1898857901105622,0.016344630408072637,0.007518835426497339,-0.13780260147586834
17,1,4,11,real,1367,10,-0.10158692744596887,10,5508,0.1761011478715204,-0.015123623177457218,0.013987206066926152,-0.27655165820695826
17,1,4,29,real,1367,10,0.005586238229388751,10,5508,0.17431339683180266,0.024333229148611264,0.00839684094978288,-0.20145722870080807
17,2,0,11,perm,1367,10,0.15801690418292236,20,0,0.20164058886665664,-0.042324667545425486,-0.001299017138308841,0.0
17,2,0,29,perm,1367,10,0.18869980766433803,20,0,0.19549780332539898,-0.004094192078481847,-0.0027038035825791193,0.0
17,2,0,11,real,1367,10,0.17556566289447884,20,0,0.19971435028746817,-0.04049364591474027,0.01634495852175092,0.0
17,2,0,29,real,1367,10,0.20863578009959638,20,0,0.19491496413013507,0.0003053227231112343,0.013415493246350052,0.0
17,2,1,11,real,1367,10,0.09001121506541099,20,1377,0.1892199339231461,-0.030639348075856786,0.020296916934929916,-0.08886628771680823
17,2,1,29,real,1367,10,0.13265883809114543,20,1377,0.18854445179165957,0.01062230770983887,0.017290624764190632,-0.08379854617454363
17,2,2,11,real,1367,10,0.06880618308488162,20,2754,0.1887056942341771,-0.01882836007479913,0.009850124587857343,-0.11092127566235369
