a,b,kind,n,gap,first,bal,e
18,29,same,856,5.186915887850467,12.264602803738319,0.24649532710280375,-0.03018216053044437
14,16,same,914,4.691466083150985,13.547592997811817,0.25820568927789933,0.009830052566064914
4,30,same,7899,4.991201417901,12.589884795543739,0.19964552474996836,-0.012581664416552674
5,12,same,1319,4.702805155420774,13.1868840030326,0.33206974981046244,0.015582752395795466
1,2,same,2820,4.94095744680851,12.836347517730497,0.1886524822695036,0.031210310834471993
2,16,same,1317,4.622627182991648,13.970007593014426,0.35079726651480636,0.019473196700802792
2,3,cross,3078,4.4641000649772575,13.197368421052632,0.23164392462638075,0.020259494318591864
5,30,cross,4916,5.441110659072416,12.46847030105777,0.1887713588283157,-0.009468807138179991
2,12,cross,1671,4.533512866546978,13.495212447636145,0.3243566726511071,-0.007401218259276494
5,16,cross,955,4.981675392670157,13.765968586387434,0.3863874345549738,-0.036655980108122765
17,22,cross,1412,4.49256373937677,13.936968838526912,0.330028328611898,-0.02180493235204565
1,22,cross,1205,5.231535269709544,12.20622406639004,0.2116182572614108,0.005838908510050627
17,23,cross,1303,4.950498848810438,13.815809669992325,0.2985418265541059,-0.03107798523159263
9,18,cross,413,4.5290556900726395,12.76271186440678,0.3753026634382567,0.006491863099374292
8,17,cross,3003,4.491841491841492,13.854978354978355,0.42657342657342656,-0.018982462725250632
4,29,same,5414,4.807074251939416,12.599187292205393,0.1856298485408201,-0.005672009724160136
11,15,same,1294,4.937017001545595,14.076506955177743,0.3554868624420402,0.04018264891941159
9,17,cross,1012,4.626482213438735,12.804841897233201,0.43577075098814233,-0.035702900144018924
12,17,cross,1636,4.520171149144255,13.408312958435207,0.4089242053789731,-0.013010006675526431
10,20,cross,1646,5.050121506682868,12.776731470230862,0.3450789793438639,-0.022885742137554788
1,8,cross,2810,4.693594306049822,12.659252669039146,0.30177935943060497,-0.0003018843476480888
13,16,same,590,4.56864406779661,13.583898305084746,0.3254237288135593,0.03722197589881476
4,16,same,1444,4.680401662049862,13.875346260387811,0.2943213296398892,-0.001579841126307398
11,17,cross,3088,4.450615284974093,14.125647668393782,0.41547927461139894,-0.001813813696697438
2,14,same,2500,4.2464,13.8038,0.3332,0.024345685134878853
6,9,same,637,4.884615384615385,12.782574568288855,0.27629513343799056,-0.082273195228689
10,13,cross,962,4.200623700623701,13.226611226611226,0.3783783783783784,-0.030331746579656926
18,20,same,484,5.3884297520661155,12.171487603305785,0.34710743801652894,0.009161824193279544
