q,world,est,arm,seed,brier_I,brier_P,brier_C,brier_W,brier_full,logloss_I,logloss_P,logloss_C,logloss_W,logloss_full,l1_I,l1_P,l1_C,l1_W,l1_full
19,real,ls,real,29,0.1481566920240658,0.12814971800718106,0.004034145811115544,-0.03971094596245251,0.2406296098799099,0.1315814015471849,0.09771356908368653,0.0037424868869660732,-0.23104670411411737,0.0019907534037201247,0.13242387987702864,0.1352644259911877,0.005246492762298567,0.07922962722489758,0.3521644258554125
19,real,ls,perm,29,0.1479936889240107,0.12736352288707897,-0.0012298631853779884,-0.03717011546637124,0.23695723315934047,0.13192236975775867,0.09575992332222225,-0.0021201271773555277,-0.23044468623926478,-0.004882520336639384,0.1326089314235853,0.13562134019983713,-0.0005177330495791943,0.08062819443876501,0.34834073301260826
19,real,ls,real,47,0.15162375951743015,0.136470318344313,0.007265815116585167,-0.03447261852437836,0.26088727445395,0.13064962919781564,0.1111934342629748,0.004641892042426219,-0.21790244715936474,0.028582508343851898,0.1353878640215464,0.14361610136193736,0.007286862871555286,0.0847984901611951,0.37108931841623416
19,real,ls,perm,47,0.15153284459355926,0.13641501541475487,-0.0001770522807482966,-0.03251784615606147,0.25525296157150434,0.12818076906036668,0.11009873544417313,-0.0006198419295974089,-0.21457653011394248,0.02308313246099991,0.13567630681326048,0.14432154047959722,0.00024910064232501006,0.08596730590554634,0.36621425384072903
19,real,logit,real,11,0.13432605893539554,0.10601820317881153,0.03602690361054076,,0.27637116572474785,0.1092292293434211,0.08702658710069494,0.029599377854300668,,0.22585519429841672,0.12763218670236148,0.12600608917428552,0.042527199996734676,,0.2961654758733817
19,real,logit,perm,11,0.13432125997277458,0.10614282346226553,0.027460167645451426,,0.26792425108049156,0.10877694225177864,0.08647940366459346,0.021631572971757957,,0.21688791888813008,0.12832072410023787,0.1262753224855251,0.03551482776254618,,0.2901108743483092
19,real,logit,real,29,0.12549433250975603,0.1210333506786069,0.03406830498460187,,0.2805959881729648,0.10209773338088507,0.09840087358680055,0.027743086202877017,,0.22824169317056264,0.12413185249030814,0.13070721378491737,0.041178354118874196,,0.29601742039409973
19,real,logit,perm,29,0.12514615718652194,0.11982153522140367,0.026050940738711132,,0.27101863314663677,0.10152180284775314,0.09722178465426141,0.020414931380687524,,0.2191585188827021,0.12461062500763312,0.13055074319218832,0.034741987257172736,,0.2899033554569942
19,real,logit,real,47,0.13156808074006926,0.12746166466410946,0.03813121103622236,,0.2971609564404011,0.10795652206369244,0.10525985569329782,0.03172496300898037,,0.24494134076597063,0.12687077646339132,0.13701760209191446,0.043814582880921195,,0.307702961436227
19,real,logit,perm,47,0.1312803759018371,0.12762065366319214,0.02905699663870309,,0.28795802620373234,0.10716673859971525,0.10480375007393175,0.023079891890280462,,0.23505038056392746,0.12747290174928172,0.13735370629272387,0.03650181683314703,,0.30132842487515266
