q,Kw,seed,arm,n,m,full,I,P,C,W
7,0,11,real,1289,10,0.2735231686577464,0.09745993439229925,0.09868492953429474,0.0773783047311524,0.0
7,0,11,perm,1289,10,0.18834564579800694,0.09691288853104629,0.09054586967430811,0.000886887592652541,0.0
7,0,29,real,1289,10,0.2572677751376601,0.08284698566620965,0.10813827082203704,0.0662825186494134,0.0
7,0,29,perm,1289,10,0.1838767641989395,0.08129563795199779,0.10233832693122158,0.00024279931572013247,0.0
7,0,47,real,1289,10,0.2714868591285712,0.0854471670761375,0.11752392115645453,0.06851577089597913,0.0
7,0,47,perm,1289,10,0.19365547255365656,0.08664443135194527,0.10719580583932908,-0.00018476463761779582,0.0
7,1,11,real,1289,10,0.30252441056659307,0.09740424485702873,0.12043022083273683,0.042091619896286694,0.042598324980540794
7,1,11,perm,1289,10,0.2875999720663811,0.0979212704896545,0.1097061221456864,0.0014872286041431129,0.07848535082689709
7,1,29,real,1289,10,0.2919395192054981,0.08539052144979542,0.1309623229611802,0.033322714777528864,0.0422639600169936
7,1,29,perm,1289,10,0.2826058167537564,0.08416492244158562,0.12218669162139768,0.0006366190588075471,0.07561758363196552
7,1,47,real,1289,10,0.3027967069453066,0.08648215041579453,0.13499718343313644,0.031069389283827617,0.050247983812548
7,1,47,perm,1289,10,0.2991741102710239,0.08704502935207857,0.1246503479319856,-0.00020019853767877516,0.08767893152463853
8,0,11,real,1468,10,0.23898406852939647,0.13251398853184232,0.09058430755058686,0.01588577244696724,0.0
8,0,11,perm,1468,10,0.21860993862264422,0.13265310940843006,0.08849412910615809,-0.002537299891943938,0.0
8,0,29,real,1468,10,0.2616070833374893,0.12628465376788955,0.12070001601333649,0.01462241355626324,0.0
8,0,29,perm,1468,10,0.24527433239453977,0.12648542272903357,0.11892096143878161,-0.00013205177327541007,0.0
8,0,47,real,1468,10,0.26563820066814403,0.10804931190868729,0.13360358507698072,0.023985303682475995,0.0
8,0,47,perm,1468,10,0.23751980004648832,0.10899181405304399,0.13206630709492767,-0.0035383211014833695,0.0
8,1,11,real,1468,10,0.19272644397711736,0.12920902468517503,0.09988105450283737,0.015879288107081647,-0.05224292331797669
8,1,11,perm,1468,10,0.17310478798324858,0.12935541446423882,0.09804637767237699,-0.002298932533610039,-0.051998071619757204
8,1,29,real,1468,10,0.21994053810879377,0.12531563960948439,0.12797480577132156,0.014118726973111275,-0.04746863424512346
8,1,29,perm,1468,10,0.20421291889287263,0.12571180043701408,0.12572207358605625,-0.00019402962075080554,-0.047026925509446885
8,1,47,real,1468,10,0.22075321539613357,0.10438123842127754,0.14655091914062746,0.026883113997403073,-0.05706205616317447
8,1,47,perm,1468,10,0.18789042586488847,0.10552224346733925,0.1449354418340435,-0.003072857029938055,-0.05949440240655623
13,0,11,real,8648,19,0.45181743066992,0.321662869494184,0.11532291113291816,0.014831650042817852,0.0
13,0,11,perm,8648,19,0.4369083838716228,0.32283688824757834,0.11439878021698371,-0.00032728459293925505,0.0
13,0,29,real,8648,19,0.4478324001963965,0.31826427698913484,0.11463001123607151,0.014938111971190104,0.0
13,0,29,perm,8648,19,0.4334691783667406,0.3188637421715319,0.11489380095766351,-0.0002883647624548994,0.0
13,0,47,real,8648,19,0.4558731826448047,0.3191287924771761,0.12136743893873386,0.015376951228894707,0.0
13,0,47,perm,8648,19,0.44152171290727815,0.3204859428034924,0.12130638002245549,-0.0002706099186697656,0.0
13,1,11,real,8648,19,0.4243200931449099,0.3112192989637059,0.11914885011443584,0.011651900154409551,-0.017699956087641428
13,1,11,perm,8648,19,0.4150058379508409,0.31206817873162673,0.11774040495821897,-0.0003049120663554579,-0.01449783367264933
13,1,29,real,8648,19,0.42288336291188866,0.3078199711811869,0.11833707220088073,0.012046216891094853,-0.015319897361273862
13,1,29,perm,8648,19,0.41351748597419036,0.3083998686280901,0.11779924136939272,-0.0002709932522844035,-0.012410630771008114
13,1,47,real,8648,19,0.4294053820572641,0.30746268837040724,0.1259831940623975,0.012320982261566311,-0.016361482637106933
13,1,47,perm,8648,19,0.420194995036161,0.30845377521930273,0.12524041390157004,-0.00023214516680151545,-0.013267048917910288
17,0,11,real,1367,10,0.18174438008396143,0.19897379360962333,-0.039691843403928416,0.0224624298782665,0.0
17,0,11,perm,1367,10,0.15974021564620344,0.2019953817866379,-0.042344258458778095,8.909231834364195e-05,0.0
17,0,29,real,1367,10,0.21235382736790798,0.19402484638814327,-0.00016168148414761685,0.018490662463912306,0.0
17,0,29,perm,1367,10,0.18689584350268396,0.19521881861118837,-0.003333640988113451,-0.004989334120390987,0.0
17,0,47,real,1367,10,0.20634315379247858,0.19278012133933015,-0.011958225835646838,0.02552125828879529,0.0
17,0,47,perm,1367,10,0.17830160819125374,0.19490861351856,-0.014875443649416824,-0.0017315616778894962,0.0
17,1,11,real,1367,10,0.09647081715990735,0.18825669233404854,-0.02938329184943601,0.02654645054261189,-0.08894903386731706
17,1,11,perm,1367,10,0.0639625709210091,0.19062696602068666,-0.0328020122951294,-0.000370117977271045,-0.09349226482727714
17,1,29,real,1367,10,0.13702591601176528,0.188315280115123,0.01076025981241685,0.022231790043698203,-0.0842814139594728
17,1,29,perm,1367,10,0.10280972083791595,0.18824120006094666,0.006779702275240199,-0.004588987039701601,-0.08762219445856931
17,1,47,real,1367,10,0.09543312111805802,0.1902239650216471,-0.004916705141855365,0.02128598777063236,-0.11116012653236607
17,1,47,perm,1367,10,0.07681255383355301,0.1931206320787256,-0.00671876273847553,-0.002198010585191701,-0.10739130492150535
19,0,11,real,3805,19,0.2834758748968257,0.15439471080962003,0.10655489886020443,0.022526265227001203,0.0
19,0,11,perm,3805,19,0.25954240009475493,0.15573214770199023,0.10479177047142156,-0.0009815180786568733,0.0
19,0,29,real,3805,19,0.2842847619078186,0.14672236447602757,0.1183255047428897,0.019236892688901313,0.0
19,0,29,perm,3805,19,0.2625392111291389,0.14733552108971054,0.11675743817434808,-0.0015537481349197078,0.0
19,0,47,real,3805,19,0.30058617746106664,0.1528188931878524,0.126268291767329,0.021498992505885217,0.0
19,0,47,perm,3805,19,0.27811223131756413,0.15275651207770996,0.1257701826226535,-0.0004144633827993608,0.0
