q,draw,world,v,v_ref,n,m,planted_pp
67,0,real,0.1811539885596648,0.1811539885596648,5415,16,
67,0,nullnull,0.1811539885596648,0.1811539885596648,5415,16,
67,1,real,0.1811539885596648,0.1811539885596648,5415,16,
67,1,nullnull,0.1811539885596648,0.1811539885596648,5415,16,
67,2,real,0.1811539885596648,0.1811539885596648,5415,16,
67,2,nullnull,0.1811539885596648,0.1811539885596648,5415,16,
67,0,plant0.05,0.22856554869972295,0.22856554869972295,5415,16,12.338338047898329
67,0,plant0.1,0.2365777200238378,0.2365777200238378,5415,16,22.021508893787576
67,0,plant0.2,0.25810726847514104,0.25810726847514104,5415,16,33.30628589305321
73,0,real,0.1720244205402854,0.1720244205402854,2386,20,
73,0,nullnull,0.1720244205402854,0.1720244205402854,2386,20,
73,1,real,0.1720244205402854,0.1720244205402854,2386,20,
73,1,nullnull,0.1720244205402854,0.1720244205402854,2386,20,
73,2,real,0.1720244205402854,0.1720244205402854,2386,20,
73,2,nullnull,0.1720244205402854,0.1720244205402854,2386,20,
73,0,plant0.05,0.2210334072118557,0.2210334072118557,2386,20,10.904869674823537
73,0,plant0.1,0.22848784795018437,0.22848784795018437,2386,20,19.338853792352715
73,0,plant0.2,0.24166213637363895,0.24166213637363895,2386,20,29.629139017962764
77,0,real,0.1527739132085905,0.15277391320859046,5045,21,
77,0,nullnull,0.15277391320859046,0.15277391320859046,5045,21,
77,1,real,0.1527739132085905,0.15277391320859046,5045,21,
77,1,nullnull,0.15277391320859046,0.15277391320859046,5045,21,
77,2,real,0.1527739132085905,0.15277391320859046,5045,21,
77,2,nullnull,0.15277391320859046,0.15277391320859046,5045,21,
77,0,plant0.05,0.21793508910663398,0.21793508910663395,5045,21,11.282306617051088
77,0,plant0.1,0.22812964438790256,0.22812964438790262,5045,21,20.579378788882835
77,0,plant0.2,0.2622078565684942,0.2622078565684942,5045,21,32.37293392043963
83,0,real,0.21332548094042572,0.21332548094042572,1604,10,
83,0,nullnull,0.21332548094042572,0.21332548094042572,1604,10,
83,1,real,0.21332548094042572,0.21332548094042572,1604,10,
83,1,nullnull,0.21332548094042572,0.21332548094042572,1604,10,
83,2,real,0.21332548094042572,0.2133254809404257,1604,10,
83,2,nullnull,0.21332548094042572,0.2133254809404257,1604,10,
83,0,plant0.05,0.2570579482015733,0.2570579482015733,1604,10,10.801296569852212
83,0,plant0.1,0.25796284570056527,0.2579628457005653,1604,10,20.199199572315152
83,0,plant0.2,0.2631465546470264,0.26314655464702646,1604,10,31.12078200596319
85,0,real,0.17657949298257314,0.17657949298257314,2190,22,
85,0,nullnull,0.17657949298257314,0.17657949298257314,2190,22,
85,1,real,0.17657949298257314,0.17657949298257314,2190,22,
