seed,a,b,tier,cca,null
1,19,48,tier4 all other pairs,0.32379944091438295,0.05036074663161937
1,19,53,tier4 all other pairs,0.29162321870495356,0.04914301982676442
1,19,55,tier4 all other pairs,0.3425074962505376,0.06418409473669001
1,19,62,tier4 all other pairs,0.6644052873465999,0.06424724271127417
1,19,63,tier4 all other pairs,0.26861761565796705,0.03848555185793181
1,19,67,tier4 all other pairs,0.3113801524024975,0.04769168270508799
1,19,73,tier4 all other pairs,0.32251357342234166,0.05715465834536375
1,19,77,tier4 all other pairs,0.40163044192538655,0.02467180019493695
1,19,79,tier4 all other pairs,0.29480566278966003,0.020258635191210794
1,19,81,tier4 all other pairs,0.22137490954422692,0.06821148209870384
1,20,29,tier4 all other pairs,0.1455509444621688,0.037594881499471156
1,20,36,tier4 all other pairs,0.12844382806104707,0.03990180120725371
1,20,42,tier4 all other pairs,0.15569749760521132,0.04154805828053939
1,20,48,tier4 all other pairs,0.12321663956095336,0.02610700203012882
1,20,53,tier4 all other pairs,0.09875809989995361,0.036821372882197126
1,20,55,tier4 all other pairs,0.22522393733485424,0.05257675064126429
1,20,62,tier4 all other pairs,0.1880613139575971,0.04417245689967286
1,20,63,tier4 all other pairs,0.22205601779308798,0.020227486240025704
1,20,67,tier4 all other pairs,0.08449502548067216,0.0161609713744522
1,20,73,tier4 all other pairs,0.0915521629467672,0.05863441012879942
1,20,77,tier4 all other pairs,0.1838375087972956,0.04411186316059412
1,20,79,tier4 all other pairs,0.13590168378889403,0.013381532352308307
1,20,81,tier4 all other pairs,0.09089086767248106,0.09553785412871288
1,29,36,tier4 all other pairs,0.2290496560019994,0.0668219095880907
1,29,39,tier4 all other pairs,0.2611559959613386,0.04453854937265971
1,29,42,tier4 all other pairs,0.47037902907862245,0.11888350735706506
1,29,48,tier4 all other pairs,0.22476595131019314,0.022835473734989262
1,29,51,tier4 all other pairs,0.06885721807789946,0.04562060462809742
1,29,53,tier4 all other pairs,0.4967491398733985,0.08211072902485707
