set,block,seed,gain,placebo,null
excluded,34,4,0.0009514554941209008,-3.3306690738754696e-16,-0.008991730837276446
excluded,40,1,-0.011373922337909681,0.0,-0.00938672099633564
excluded,40,2,-0.009456070672291927,0.0,-0.0006474540462042544
excluded,40,3,-0.005275341113953447,0.0,-0.008186663409675887
excluded,40,4,0.006768290680766564,0.0,-0.013583201988777827
excluded,44,1,0.008984132990586091,2.220446049250313e-16,-0.008971853577862454
excluded,44,2,0.014516835966038921,0.0,-0.023729567338955038
excluded,44,3,0.010758046857995751,0.0,-0.013682606857698953
excluded,44,4,0.011949670262319745,0.0,-0.01443850896626031
excluded,45,1,0.03081709226395657,0.0,-0.023410882011406287
excluded,45,2,-0.007405281995455981,0.0,-0.040883772908572924
excluded,45,3,-0.013108982821463222,0.0,-0.026177956073558217
excluded,45,4,0.010928282792696198,0.0,-0.02633889679330248
excluded,57,1,-0.006685094060393526,-2.220446049250313e-16,-0.016671719910419602
excluded,57,2,-0.007986466411060933,0.0,-0.024949668586557117
excluded,57,3,-0.009622560789353862,0.0,-0.023309566659508674
excluded,57,4,0.032027044238390645,4.440892098500626e-16,-0.028660285191644874
excluded,59,1,0.010274488716307095,0.0,-0.03398575872424536
excluded,59,2,-0.0015572994612660374,0.0,-0.02787591904115172
excluded,59,3,-0.008682852307987599,0.0,-0.038330520662502865
excluded,59,4,-0.01736631745327122,0.0,-0.011638672386254267
excluded,61,1,0.02618237884890451,0.0,-0.0011075069555132044
excluded,61,2,0.02205044554799873,0.0,-0.0013722091879585507
excluded,61,3,0.028068138322423053,0.0,-0.0006359492845322556
excluded,61,4,0.03149365762213219,0.0,-0.0019132364513195776
excluded,66,1,0.026976129336997445,1.1102230246251565e-16,-0.0036073383568755446
excluded,66,2,0.020919473795939947,0.0,-0.0035489398443694364
excluded,66,3,0.014422944243930313,0.0,-0.011192650716065344
excluded,66,4,0.005504858611404262,-1.1102230246251565e-16,-0.005652908325148975
excluded,69,1,0.010833729862921637,0.0,-0.007818226485463708
excluded,69,2,0.004494122435631187,-4.440892098500626e-16,-0.01573695413673315
excluded,69,3,-0.000129950218872521,2.220446049250313e-16,-0.0065280803283125355
excluded,69,4,0.008974845742619308,0.0,-0.01881673213823254
excluded,71,1,-0.0008086780084215484,0.0,-0.01761948739590835
excluded,71,2,0.010272371299045013,0.0,-0.02263898719432933
excluded,71,3,0.00409172097587196,1.1102230246251565e-16,-0.009877010421904253
excluded,71,4,-0.0051015551569005835,0.0,-0.01254994883942484
excluded,74,1,0.014701844682244336,0.0,-0.0015740085406157345
excluded,74,2,0.009681768621201514,0.0,-0.006912399024079141
excluded,74,3,0.014414814935524656,0.0,-0.0018028528021207801
excluded,74,4,0.0006253115174498225,0.0,-0.004906400370372488
excluded,75,1,0.02556390026017541,-1.1102230246251565e-16,0.0009942676569046904
excluded,75,2,0.03155551011301283,0.0,-0.0029954270127918736
excluded,75,3,0.02321872054168128,0.0,-0.003576147351304848
excluded,75,4,0.029166305039533547,1.1102230246251565e-16,-0.002351757215683814
excluded,80,1,0.02368626755733305,0.0,-0.0018989372425879392
excluded,80,2,0.022694170512252088,0.0,-0.00138482577459631
excluded,80,3,0.022838077258883205,0.0,-0.00031968206015364764
excluded,80,4,0.023216428569240333,-2.220446049250313e-16,-0.00040109939264698635
excluded,88,1,0.027800612318115148,0.0,-0.0027934388985048075
excluded,88,2,0.027089095763161097,0.0,-0.0013912103839882617
excluded,88,3,0.027359073845744986,0.0,-0.0019346286462065265
excluded,88,4,0.03356742101614396,2.220446049250313e-16,-0.001029357732531877
excluded,89,1,-0.013101692137745147,0.0,0.00859571314847929
excluded,89,2,-0.004075277119232945,0.0,-0.024317975802924607
excluded,89,3,0.013888298742894989,-2.220446049250313e-16,-0.04267164035661386
excluded,89,4,0.013787431253825089,4.440892098500626e-16,-0.024422434085642486
excluded,94,1,0.005796902023084138,0.0,-0.004010890393567168
excluded,94,2,0.010918738122356886,0.0,-0.0030956309731937637
excluded,94,3,0.020393564812250964,0.0,-0.010741179603616535
excluded,94,4,0.01502873612337663,0.0,-0.006673821624444298
excluded,95,1,0.02849160114435334,0.0,-0.0031337570687116623
excluded,95,2,0.018191444859996908,0.0,-0.008780313285821295
excluded,95,3,0.030090708703522262,0.0,-0.009016214308942616
excluded,95,4,0.025386275443747497,0.0,-0.004104377894466604
excluded,97,1,0.028248145382820278,0.0,-0.0066766081712451575
excluded,97,2,0.02251784903143661,0.0,-0.005121909767528465
excluded,97,3,0.020603949217463557,-1.1102230246251565e-16,-0.0056833099271390575
excluded,97,4,0.024807619766116784,0.0,-0.0013551648983872733
excluded,98,1,0.009915314018428378,0.0,-0.004951075641125069
excluded,98,2,0.009119640793365691,1.1102230246251565e-16,-0.009062311244788401
excluded,98,3,0.01885899280124681,0.0,-0.008525160163275536
excluded,98,4,0.011301898920349718,0.0,-0.012224496464756318
excluded,99,1,-0.006841498078329344,-1.1102230246251565e-16,-0.005081053957695647
excluded,99,2,-0.0032083585335284104,0.0,-1.2632886978836133e-05
excluded,99,3,-0.006162631692141596,0.0,-0.006355601656331422
excluded,99,4,-0.0005927129694185407,0.0,-0.005042464603076224
excluded,100,1,0.03760463340608877,0.0,-0.004759956449213787
excluded,100,2,0.02636299572087808,2.220446049250313e-16,-0.01895793712270688
excluded,100,3,0.00320578395548754,0.0,-0.020354654965545782
excluded,100,4,0.027326393120475134,0.0,-0.018035884211984987
