block,baseline,seed,gain,null_gain
77,propensity+full_coverage,4,0.04314190942060325,-0.0014073132740691774
77,propensity+full_coverage,14,0.039282455919161796,-0.000974229006475813
77,propensity+full_coverage,24,0.03758894377218891,-0.0020545540320111577
79,propensity,4,0.04569276976374281,-0.00033739403137245105
79,propensity,14,0.043064493568151674,-0.001335488765774162
79,propensity,24,0.04124435180180697,-0.0009329525722014953
79,propensity+n_blocks,4,0.0377313705014557,-0.00033348525528542616
79,propensity+n_blocks,14,0.03665669048352327,-0.0013838507762788943
79,propensity+n_blocks,24,0.034168521714632916,-0.0009172447585353849
79,propensity+coverage_pcs,4,0.02900706582721957,-0.0004669644953798624
79,propensity+coverage_pcs,14,0.027958112731597096,-0.001241567043727576
79,propensity+coverage_pcs,24,0.0251813180034961,-0.0009420081543888292
79,propensity+full_coverage,4,0.021034397495944157,-0.00040412942860357237
79,propensity+full_coverage,14,0.02094207204235332,-0.0013401912330031074
79,propensity+full_coverage,24,0.01833297840312309,-0.0009626966411500071
81,propensity,4,0.03323982968647199,-0.0019474979474474186
81,propensity,14,0.02955161038553189,-0.006457590228266863
81,propensity,24,0.03245223070786518,-0.005160155856120063
81,propensity+n_blocks,4,0.029668997648813478,-0.0017763488675808237
81,propensity+n_blocks,14,0.02455498964349556,-0.006614272726633508
81,propensity+n_blocks,24,0.03128001434179506,-0.004821828297505992
81,propensity+coverage_pcs,4,0.015659669166448342,-0.0017378410831403457
81,propensity+coverage_pcs,14,0.009809389247486866,-0.005318797568982125
81,propensity+coverage_pcs,24,0.01678611086120485,-0.004332163899307351
81,propensity+full_coverage,4,0.010096932529456648,-0.0015364929365258018
81,propensity+full_coverage,14,0.007570094520918724,-0.0046955330374161
81,propensity+full_coverage,24,0.009842814695545044,-0.004179683567211656
83,propensity,4,0.11758746917714047,-0.01020399665486238
83,propensity,14,0.1044227401721185,-0.0018158492895976597
83,propensity,24,0.1129589312561955,-0.0023522130249129525
83,propensity+n_blocks,4,0.1173221807843906,-0.010205058073447182
83,propensity+n_blocks,14,0.10054574057057475,-0.001763857805323954
83,propensity+n_blocks,24,0.11235119981093011,-0.0026887974773422973
83,propensity+coverage_pcs,4,0.08546381404116499,-0.011078472709551757
83,propensity+coverage_pcs,14,0.08289809072061316,-0.000644590769772635
83,propensity+coverage_pcs,24,0.09399567575945622,-0.004264145459343172
83,propensity+full_coverage,4,0.07068792419859482,-0.011372492346442331
83,propensity+full_coverage,14,0.06804904107552323,-0.00041328920039684913
83,propensity+full_coverage,24,0.07694945113338636,-0.0034713357998618077
85,propensity,4,0.037808676065261726,-0.004099607268051031
85,propensity,14,0.03203897272748568,-0.004750216992272627
85,propensity,24,0.031154648104263938,-0.004458679339626848
85,propensity+n_blocks,4,0.029654093234519063,-0.003824450150355374
85,propensity+n_blocks,14,0.02707108319171514,-0.004221018851288005
85,propensity+n_blocks,24,0.02673625592202855,-0.003987295997200935
85,propensity+coverage_pcs,4,0.023335608514627904,-0.0037420815471149727
85,propensity+coverage_pcs,14,0.019725895222775458,-0.004477837483991887
85,propensity+coverage_pcs,24,0.020927626139579658,-0.0037861347975428616
85,propensity+full_coverage,4,0.016758048106090384,-0.003585742677458925
85,propensity+full_coverage,14,0.014942261847645022,-0.0046150002579700145
85,propensity+full_coverage,24,0.014023483046643137,-0.0035974524505510974
90,propensity,4,0.013716779060092943,-0.002276107595425847
90,propensity,14,0.010294218887269224,-0.003662446866440794
90,propensity,24,0.011238893310414277,-0.001834168479668552
90,propensity+n_blocks,4,0.007224753473704992,-0.0021487521876140114
90,propensity+n_blocks,14,0.005944136391161647,-0.003932729959420844
90,propensity+n_blocks,24,0.0037463728295354937,-0.0015969839746847736
90,propensity+coverage_pcs,4,0.0031748070051000887,-0.0020971811199944623
90,propensity+coverage_pcs,14,0.0033041773836056665,-0.00393136412302586
90,propensity+coverage_pcs,24,0.0013233084086337055,-0.0012446057741900551
90,propensity+full_coverage,4,0.002283599467380548,-0.0024018267711666264
90,propensity+full_coverage,14,0.004285859077415188,-0.003295232386913316
90,propensity+full_coverage,24,0.00012306082373436666,-0.0012724766782254981
91,propensity,4,0.04565004232550651,-0.0025940704001581327
91,propensity,14,0.0345606255547144,-0.009207280899073522
91,propensity,24,0.03630620751917124,-0.004017520376623729
91,propensity+n_blocks,4,0.04394500660750389,-0.0029329703177318756
91,propensity+n_blocks,14,0.03318431522231846,-0.009162047247391891
91,propensity+n_blocks,24,0.03669446814703947,-0.004048948011471598
91,propensity+coverage_pcs,4,0.026124806410627532,-0.00332978531865169
91,propensity+coverage_pcs,14,0.02150398431791678,-0.007560509423409134
91,propensity+coverage_pcs,24,0.024104300709996473,-0.004222837626731923
91,propensity+full_coverage,4,0.016478898070598436,-0.004216572947395081
91,propensity+full_coverage,14,0.016146468108762857,-0.00889911976234048
91,propensity+full_coverage,24,0.018118461042917366,-0.003997480343710724
92,propensity,4,0.043164717914194184,-0.003964789853649231
92,propensity,14,0.03881501078016836,-0.001406439544113569
92,propensity,24,0.04743024586953548,-0.0025926841297356784
92,propensity+n_blocks,4,0.040092565368790245,-0.0038867223837664167
92,propensity+n_blocks,14,0.034797034878634614,-0.0015019611314250891
92,propensity+n_blocks,24,0.0417447942325736,-0.0027639476127354623
92,propensity+coverage_pcs,4,0.029512175815244013,-0.003357213494824429
92,propensity+coverage_pcs,14,0.025465614893040667,-0.0015221265792721983
92,propensity+coverage_pcs,24,0.02962912230742143,-0.003259900905636326
92,propensity+full_coverage,4,0.02560318003264217,-0.0031402748425993776
92,propensity+full_coverage,14,0.02162935332538385,-0.0013183921426072054
92,propensity+full_coverage,24,0.023553362531290145,-0.0037313590703382804
93,propensity,4,0.08149251934759538,-0.002432969653908046
93,propensity,14,0.07501023743952195,-0.0024666794758545496
93,propensity,24,0.07895552081002022,-0.004558604372393971
93,propensity+n_blocks,4,0.07384718220720521,-0.0018435056509356063
93,propensity+n_blocks,14,0.07133745930484214,-0.002700407327656529
93,propensity+n_blocks,24,0.0747475985929128,-0.004172470192948197
93,propensity+coverage_pcs,4,0.06449438246759942,-0.0021611988235648028
