arm,cat,n,diff,early,late,dy,dc
shuf_abs,22,3240,-0.002932663811979319,0.09320173690794624,0.09613440071992556,0.0,-0.00026718260549118966
shuf_cent,22,3314,0.012852971192340024,0.08865792494248691,0.07580495375014688,0.01025950512975271,0.0010718885956457758
plant_abs,22,3004,0.07555895274825386,0.1313714705216734,0.055812517773419536,0.020363026528856576,0.012192698292823656
plant_cent,22,2996,0.07736179340469923,0.13024680996369217,0.05288501655899295,0.06512928965218956,0.0012852958173086293
abs_all,25,1264,0.13180948681047755,0.175617699181051,0.04380821237057345,0.0,0.007226525599848821
cent_all,25,1242,0.11350876433912016,0.14495911955777735,0.03145035521865719,0.0660225442834137,0.005431778306534851
abs_high,25,736,0.045057554603398366,0.06017200240041759,0.015114447797019223,0.0,0.004704737183647056
shuf_abs,25,1230,0.034978844307290896,0.13103405584229902,0.09605521153500812,0.0,-0.008227156898434673
shuf_cent,25,1244,0.031211047378108148,0.10796112785470567,0.07675008047659752,0.08681672025723497,0.002831501655708779
plant_abs,25,1240,0.1896808581874981,0.23286367908324035,0.04318282089574225,0.0019973733389977433,0.006957149735195012
plant_cent,25,1242,0.1866708480734282,0.2181212032920854,0.03145035521865719,0.07338343329819041,0.005431778306534851
abs_all,26,4444,0.023274435518837885,0.1272088954762449,0.10393445995740701,0.0,-0.007832126496231662
cent_all,26,4650,0.036521163079916125,0.13308269662371006,0.09656153354379393,0.16688172043010763,-0.00012197079120535026
abs_low,26,1068,-0.0664658234730239,-0.03157045394724286,0.03489536952578104,0.0,-0.017077533679915047
abs_high,26,3490,0.06235144980438624,0.09811806113380063,0.03576661132941439,0.0,-0.004028567762904611
shuf_abs,26,4858,-0.00550069710883444,0.1253728049534674,0.13087350206230183,0.0,0.002980158900843688
shuf_cent,26,4884,0.011699459147585009,0.1346138915589671,0.1229144324113821,-0.013513513513513598,0.001521874656203015
plant_abs,26,4418,0.07728482678463887,0.18510940565715162,0.10782457887251275,0.01382224855508607,-0.007797139247177398
plant_cent,26,4650,0.1019680811579482,0.19852961470174213,0.09656153354379393,0.1781588255882096,-0.00012197079120535026
abs_all,27,550,0.13735592719582027,0.12921031045895917,-0.008145616736861094,0.0,0.0013568521031207537
cent_all,27,528,0.09231309247862346,0.11675308690860821,0.024439994429984752,0.05681818181818166,0.0050881953867029095
shuf_abs,27,594,0.03409654154195798,0.08384588201841642,0.04974934047645844,0.0,-0.009045680687471691
shuf_cent,27,568,0.044591920158411506,0.10487579332140641,0.060283873162994904,-0.024647887323943962,-0.002732814799243144
plant_abs,27,550,0.1355794383460429,0.15470926721601233,0.019129828869969407,0.03206308532989599,-0.003690637720488388
plant_cent,27,528,0.13292318300355596,0.15736317743354072,0.024439994429984752,0.06593819253146949,0.0050881953867029095
abs_all,29,8328,0.006130097045474476,0.03024930241982149,0.024119205374347013,0.0,-0.0009426928756792741
cent_all,29,8550,0.006592272448894324,0.03325152221548868,0.026659249766594357,0.09707602339181287,0.0022658636641353924
abs_low,29,2440,-0.01924906424125287,-0.04222232420066696,-0.02297325995941409,0.0,0.0023122094445803265
abs_high,29,6078,0.028632551195218774,0.022184225192419065,-0.006448326002799709,0.0,-0.0006384661097278421
shuf_abs,29,8724,0.003037662767102378,0.030841789921507174,0.027804127154404796,0.0,-0.0009033238210597316
shuf_cent,29,8676,-0.0006847603821221737,0.023594196904797488,0.024278957286919662,-0.011295527893038226,-0.001238620177122729
plant_abs,29,8262,0.10565106445307364,0.123457961653536,0.017806897200462357,-0.011445168918098325,-0.002149745101652112
plant_cent,29,8550,0.10290418596476299,0.12956343573135734,0.026659249766594357,0.09491882241855398,0.0022658636641353924
