q,world,rank,scale,seed,skill,planted_sd,item_pp,person_pp,person_noise_pp
39,plant,10.0,0.12,29,0.012936236300558734,0.2936782861752397,,,
39,plant,10.0,0.2,29,0.04797989687409121,0.36791106602492024,,,
39,plant,10.0,0.3,29,0.0741660408359337,0.41221210425585714,,,
42,real,,,11,0.07676874362744379,,19.129785335461303,18.110444610094536,10.078740242370865
42,margin,,,11,-0.011491255937012501,0.0,,,
42,plant,2.0,0.05,11,-0.013547210361311679,0.06647841082058353,,,
42,plant,2.0,0.08,11,-0.008315968978446442,0.10366845872095204,,,
42,plant,2.0,0.12,11,0.008946521625184611,0.14952636772262048,,,
42,plant,2.0,0.2,11,0.06897272863930126,0.22445680447758698,,,
42,plant,2.0,0.3,11,0.1666961724736704,0.28919109757428757,,,
42,plant,5.0,0.05,11,-0.014567974553010066,0.12138511952526028,,,
42,plant,5.0,0.08,11,-7.474576406096833e-05,0.18208950502506607,,,
42,plant,5.0,0.12,11,0.03833947874962906,0.24656432171090464,,,
42,plant,5.0,0.2,11,0.13427626501730816,0.3289336032832569,,,
42,plant,5.0,0.3,11,0.23433578980414638,0.38334674837495775,,,
42,plant,10.0,0.05,11,-0.007255465377528414,0.13552865791912358,,,
42,plant,10.0,0.08,11,0.0021099843185088396,0.20385076597330976,,,
42,plant,10.0,0.12,11,0.027892385960275656,0.2736850838301238,,,
42,plant,10.0,0.2,11,0.08258492715217847,0.3555707937084351,,,
42,plant,10.0,0.3,11,0.13605823551313034,0.40649833168716426,,,
42,real,,,29,0.0799112031354634,,19.129785335461303,18.110444610094536,10.078740242370865
42,margin,,,29,-0.007502048378133175,0.0,,,
42,plant,2.0,0.05,29,-0.01162444729480594,0.0638109648175123,,,
42,plant,2.0,0.08,29,-0.00644517634929842,0.0995705694654283,,,
42,plant,2.0,0.12,29,0.008078524224195971,0.14452433043335594,,,
42,plant,2.0,0.2,29,0.06691548130620506,0.2200290542565507,,,
42,plant,2.0,0.3,29,0.1657265645303858,0.2864683844025457,,,
42,plant,5.0,0.05,29,-0.01024387537189353,0.1093746452650279,,,
42,plant,5.0,0.08,29,0.007148843911530589,0.16554284676307865,,,
42,plant,5.0,0.12,29,0.03843716049403878,0.22599413560151121,,,
42,plant,5.0,0.2,29,0.11985505609703795,0.30948511492420144,,,
42,plant,5.0,0.3,29,0.20406417829881407,0.36862699047368863,,,
42,plant,10.0,0.05,29,-0.01501786517352266,0.13101959363038984,,,
42,plant,10.0,0.08,29,-0.0017041409542619679,0.19569550607358546,,,
42,plant,10.0,0.12,29,0.030116760137777643,0.2635613796192744,,,
42,plant,10.0,0.2,29,0.1076480546464198,0.3472822145980616,,,
