q,arm,seed,C,W,CW,n_eval
63,holdout,11,0.010525931991828497,-0.1251423854811946,-0.11776414678620861,2458
63,holdout,29,0.008121171021678752,-0.12292523021039559,-0.11522252620816897,2465
63,holdout,47,0.00640369953651676,-0.11051809897692133,-0.10850427234894056,2573
63,shuffled,11,-0.00011477963973971494,-0.10754154389824133,-0.1083999797210693,2458
63,shuffled,29,4.3995356459713975e-05,-0.10915828131545291,-0.10944621666229915,2465
63,shuffled,47,-0.001290696943599401,-0.13623402224743242,-0.13557369910437678,2573
67,raw,11,0.007016699361031331,-0.13598606855161666,-0.13168888784658772,5415
67,raw,29,0.007690062027350675,-0.132531979476057,-0.1278475894321056,5415
67,raw,47,0.004615757942215359,-0.13863065063577396,-0.1367287369995741,5415
67,holdout,11,0.004823153276262815,-0.13273062613269848,-0.1325919311391739,2649
67,holdout,29,0.00398962257403479,-0.12534531485540334,-0.12572008532017975,2685
67,holdout,47,0.006697527153111227,-0.14220726592560207,-0.13780088445357686,2800
67,shuffled,11,0.0012269500454858973,-0.13370876501031137,-0.13243379937075372,2649
67,shuffled,29,-0.0008769418288576691,-0.12644566409596147,-0.12703533874671413,2685
67,shuffled,47,-0.0004358764822092187,-0.16557169924201942,-0.16510543252683862,2800
73,raw,11,0.005957946540018133,-0.0057335974424188585,-0.005659695591502811,2386
73,raw,29,0.006775289762402159,-0.02212343095483138,-0.020265720306640533,2386
73,raw,47,0.006988688450544456,-0.00877792998706961,-0.006541942309621129,2386
73,holdout,11,0.007096753551804502,-0.011037290239036657,-0.00926284019869672,1177
73,holdout,29,0.004164656243817899,-0.015327833492700949,-0.017592749647149297,1194
73,holdout,47,0.003518906792477905,-0.011084706096672337,-0.01765786120102586,1215
73,shuffled,11,-0.0010528377129663813,-0.027114869145155374,-0.028721272429625633,1177
73,shuffled,29,0.0032668759477330056,-0.026831888024714035,-0.02391803233069245,1194
73,shuffled,47,-0.0017929496397272038,-0.023467469436485366,-0.0247284083398408,1215
77,raw,11,0.02150585541954131,-0.035882612482566856,-0.031522247992799124,5045
77,raw,29,0.02025115917356568,-0.049043880982712174,-0.04473043335234794,5045
77,raw,47,0.020397184089554155,-0.045054190956193896,-0.04031101106124224,5045
77,holdout,11,0.016702467890977846,-0.024978461946983277,-0.02557404232572147,2499
77,holdout,29,0.016125470935668296,-0.026776875725202487,-0.028404382398426575,2561
77,holdout,47,0.019304973830986505,-0.011519304013195897,-0.010677065493410187,2578
77,shuffled,11,-0.0001290138874882052,-0.05109155988874314,-0.05197844874863233,2499
77,shuffled,29,-0.00018871183370083866,-0.03198204322946696,-0.0325583866763387,2561
77,shuffled,47,0.0017032321638801307,-0.023833338040887275,-0.022668425845578266,2578
83,raw,11,0.025642056087458842,-0.011769319063529848,-0.006740118352654423,1604
83,raw,29,0.027641940266830867,-0.0065900472722273395,-0.0002372319331951367,1604
83,raw,47,0.01237807201850527,0.011304894701876012,0.013167855729528832,1604
83,holdout,11,0.018284122211761122,-0.09049111574737867,-0.08997721626295285,807
83,holdout,29,0.028126066916321912,0.05577833498467755,0.05903052243971074,814
83,holdout,47,0.02140884837065793,-0.0505788491282112,-0.03866774578924115,819
