q,K,seed,f,n,m,I,P,X
19,2,11,1.0,3805,19,0.150894728373498,0.11906618381445551,-0.05891451996400047
19,1,11,5.0,3805,19,0.15411626581169902,0.11797055400772252,-0.05587914154083236
19,2,11,5.0,3805,19,0.152886981351925,0.1198410056382587,-0.11387866241146334
19,1,29,0.0,3805,19,0.14796582927988441,0.12218149900459915,0.007008927755045838
19,2,29,0.0,3805,19,0.14630261088337604,0.12310907280724387,-0.008503780636172279
19,1,29,0.25,3805,19,0.1487989776197411,0.11512795093985129,-0.002834590391567582
19,2,29,0.25,3805,19,0.14701938633608758,0.11611370023172872,-0.02713465418771654
19,1,29,0.5,3805,19,0.1511397347486851,0.1075260570976316,-0.017198612749078263
19,2,29,0.5,3805,19,0.15045699730940057,0.10834120719435766,-0.04886501483705509
19,1,29,1.0,3805,19,0.1447521629993909,0.1117752120092744,-0.028253116649274893
19,2,29,1.0,3805,19,0.14467246170909875,0.11496262189771922,-0.06281932233136922
19,1,29,5.0,3805,19,0.13542915166763322,0.11601407444726233,-0.06933560172640009
19,2,29,5.0,3805,19,0.1313353109402361,0.11299024595397845,-0.12091587205562995
19,1,47,0.0,3805,19,0.15167190855923207,0.12961625349359407,0.011638914755051707
19,2,47,0.0,3805,19,0.1505297296015346,0.12989938334311574,-0.007428125676607148
19,1,47,0.25,3805,19,0.1542977391640597,0.12358094642686465,-0.002618649439894279
19,2,47,0.25,3805,19,0.152694961698987,0.1247754632690522,-0.03219777893135637
19,1,47,0.5,3805,19,0.15111478415326815,0.11825977324034428,-0.00776247339941279
19,2,47,0.5,3805,19,0.150134647606122,0.11996079203231937,-0.04346841938114474
19,1,47,1.0,3805,19,0.15066704338393838,0.12216514228822607,-0.02381836422378656
19,2,47,1.0,3805,19,0.14906159858401613,0.12638738458880294,-0.07095089225906269
19,1,47,5.0,3805,19,0.1429099357543734,0.12278126371394774,-0.061694863804311176
19,2,47,5.0,3805,19,0.14412285627003307,0.12961557853014893,-0.11386555603094986
20,1,11,0.0,4988,10,0.3338250577002923,0.0636265069515707,0.0456317690216327
20,2,11,0.0,4988,10,0.3302377852187708,0.0694584403893396,0.011151930086393907
20,1,11,0.25,4988,10,0.33004456862018405,0.06375133799328436,0.025790234096872422
20,2,11,0.25,4988,10,0.3266721599610385,0.07022270438843226,-0.022134110536466023
20,1,11,0.5,4988,10,0.333314891739951,0.059908122804127585,0.0055163606763653315
20,2,11,0.5,4988,10,0.32773489986905,0.06538292337614252,-0.0402830182767457
20,1,11,1.0,4988,10,0.33690165494539753,0.049777436188934245,-0.027914011466578535
20,2,11,1.0,4988,10,0.3325677315358709,0.05444788720704187,-0.10104376097917488
20,1,11,5.0,4988,10,0.3371424457625324,0.052000197116086166,-0.06799495001474004
20,2,11,5.0,4988,10,0.33523924143496286,0.059602953155618844,-0.1514963263073586
20,1,29,0.0,4988,10,0.36503301819909084,0.05268762608785721,0.03818632581999165
20,2,29,0.0,4988,10,0.36127220441829583,0.05822555434244393,0.006473879080527564
20,1,29,0.25,4988,10,0.36342762729765876,0.05324426888809034,0.012735867583076193
20,2,29,0.25,4988,10,0.3603050785993295,0.05943649625068418,-0.029081873960328648
20,1,29,0.5,4988,10,0.3600377317986171,0.05828989346991842,-0.005025094311712719
20,2,29,0.5,4988,10,0.355906503220525,0.06099765990851563,-0.06788228711670158
20,1,29,1.0,4988,10,0.3586193112411893,0.045869256454567735,-0.023985091582906844
20,2,29,1.0,4988,10,0.35379386567696386,0.04915802866891214,-0.08457373671579067
20,1,29,5.0,4988,10,0.33556543747139633,0.056239579911590246,-0.05657930677777327
20,2,29,5.0,4988,10,0.3350013867859011,0.0670926365539275,-0.14575690392530827
20,1,47,0.0,4988,10,0.34052472317730437,0.0639893599754657,0.030970085522210623
20,2,47,0.0,4988,10,0.3355895963473001,0.0656254066427623,-0.017167438370414602
20,1,47,0.25,4988,10,0.34856708698238725,0.06075027470601907,0.008444832502176258
20,2,47,0.25,4988,10,0.3427361690442592,0.06099181935991145,-0.04364813690123368
20,1,47,0.5,4988,10,0.3502986247048631,0.06384583504790955,-0.002318299285955191
20,2,47,0.5,4988,10,0.34428575768713643,0.06476939836313529,-0.05890725666822403
20,1,47,1.0,4988,10,0.3412171122902123,0.06417064378976335,-0.01759504629209994
20,2,47,1.0,4988,10,0.3357194022054143,0.06381950569344759,-0.10150326643003914
20,1,47,5.0,4988,10,0.3354287641080222,0.0693777706577893,-0.07259079655919488
20,2,47,5.0,4988,10,0.33739575385925163,0.07843707167453562,-0.17203549338972576
29,1,11,0.0,5388,22,0.2107959919576554,0.08659487059720697,0.018502856973516592
29,2,11,0.0,5388,22,0.2088543900741303,0.08999536809302212,0.017176684390511527
29,1,11,0.25,5388,22,0.21026042007739365,0.08551924001338997,0.006273799163280154
