q,world,rank,scale,seed,skill,planted_sd,item_pp,person_pp
39,real,,,29,0.03816589278105054,,16.180666296490553,21.537269435526156
39,margin,,,29,-0.00988343795313662,0.0,,
39,plant,2.0,0.05,29,-0.013748626790498042,0.07779445271610688,,
39,plant,2.0,0.08,29,-0.009827611886342957,0.12447112434577101,,
39,plant,2.0,0.12,29,0.002054165482311854,0.1867066865186565,,
39,plant,2.0,0.2,29,0.05826538879109466,0.31117781086442753,,
39,plant,2.0,0.3,29,0.149693344197681,0.46676671629664124,,
39,plant,5.0,0.05,29,-0.01339476338775003,0.11082518647226307,,
39,plant,5.0,0.08,29,-0.0018517235649938568,0.17732029835562088,,
39,plant,5.0,0.12,29,0.013398816608547248,0.2659804475334313,,
39,plant,5.0,0.2,29,0.06678633233215059,0.4433007458890523,,
39,plant,5.0,0.3,29,0.12717707268385003,0.6649511188335783,,
39,plant,10.0,0.05,29,-0.020035765899252267,0.16117221980044047,,
39,plant,10.0,0.08,29,-0.009032260638484058,0.25787555168070475,,
39,plant,10.0,0.12,29,0.012936236300558734,0.38681332752105707,,
39,plant,10.0,0.2,29,0.04797989687409121,0.6446888792017619,,
39,plant,10.0,0.3,29,0.0741660408359337,0.9670333188026428,,
42,real,,,11,0.07676874362744379,,19.129785335461303,18.110444610094536
42,margin,,,11,-0.011491255937012501,0.0,,
42,plant,2.0,0.05,11,-0.013547210361311679,0.07695127079374282,,
42,plant,2.0,0.08,11,-0.008315968978446442,0.12312203326998851,,
42,plant,2.0,0.12,11,0.008946521625184611,0.18468304990498277,,
42,plant,2.0,0.2,11,0.06897272863930126,0.3078050831749713,,
42,plant,2.0,0.3,11,0.1666961724736704,0.4617076247624569,,
42,plant,5.0,0.05,11,-0.014567974553010066,0.13054750467473533,,
42,plant,5.0,0.08,11,-7.474576406096833e-05,0.20887600747957652,,
42,plant,5.0,0.12,11,0.03833947874962906,0.31331401121936475,,
42,plant,5.0,0.2,11,0.13427626501730816,0.5221900186989413,,
42,plant,5.0,0.3,11,0.23433578980414638,0.783285028048412,,
42,plant,10.0,0.05,11,-0.007255465377528414,0.1555975150907649,,
42,plant,10.0,0.08,11,0.0021099843185088396,0.2489560241452238,,
42,plant,10.0,0.12,11,0.027892385960275656,0.37343403621783566,,
42,plant,10.0,0.2,11,0.08258492715217847,0.6223900603630595,,
42,plant,10.0,0.3,11,0.13605823551313034,0.9335850905445892,,
42,real,,,29,0.0799112031354634,,19.129785335461303,18.110444610094536
42,margin,,,29,-0.007502048378133175,0.0,,
42,plant,2.0,0.05,29,-0.01162444729480594,0.06943305132268013,,
42,plant,2.0,0.08,29,-0.00644517634929842,0.1110928821162882,,
42,plant,2.0,0.12,29,0.008078524224195971,0.16663932317443228,,
42,plant,2.0,0.2,29,0.06691548130620506,0.2777322052907205,,
42,plant,2.0,0.3,29,0.1657265645303858,0.41659830793608077,,
42,plant,5.0,0.05,29,-0.01024387537189353,0.11872505220431132,,
42,plant,5.0,0.08,29,0.007148843911530589,0.1899600835268981,,
42,plant,5.0,0.12,29,0.03843716049403878,0.2849401252903471,,
42,plant,5.0,0.2,29,0.11985505609703795,0.47490020881724526,,
42,plant,5.0,0.3,29,0.20406417829881407,0.7123503132258678,,
42,plant,10.0,0.05,29,-0.01501786517352266,0.14270473452035018,,
42,plant,10.0,0.08,29,-0.0017041409542619679,0.22832757523256028,,
42,plant,10.0,0.12,29,0.030116760137777643,0.3424913628488404,,
42,plant,10.0,0.2,29,0.1076480546464198,0.5708189380814007,,
42,plant,10.0,0.3,29,0.1572658184932545,0.856228407122101,,
48,real,,,11,0.06907051337738856,,23.025274356273677,20.84111978350909
48,margin,,,11,-0.0160385622136473,0.0,,
48,plant,2.0,0.05,11,-0.014771339777886139,0.06110780281335813,,
48,plant,2.0,0.08,11,-0.012217874648283389,0.09777248450137302,,
48,plant,2.0,0.12,11,-0.007024921927496819,0.1466587267520595,,
48,plant,2.0,0.2,11,0.022227787906088703,0.2444312112534325,,
48,plant,2.0,0.3,11,0.07613480441193277,0.3666468168801487,,
48,plant,5.0,0.05,11,-0.008372397895396788,0.1085626380525495,,
48,plant,5.0,0.08,11,-0.005444053737833521,0.17370022088407922,,
48,plant,5.0,0.12,11,0.004321959309835699,0.2605503313261188,,
48,plant,5.0,0.2,11,0.03353499655252179,0.434250552210198,,
48,plant,5.0,0.3,11,0.07149739739471295,0.6513758283152971,,
48,plant,10.0,0.05,11,-0.018846577860038405,0.15246750289477115,,
48,plant,10.0,0.08,11,-0.011942970972547151,0.24394800463163382,,
48,plant,10.0,0.12,11,0.0055537735545074796,0.36592200694745075,,
48,plant,10.0,0.2,11,0.033620814350323824,0.6098700115790846,,
48,plant,10.0,0.3,11,0.05486870360656049,0.9148050173686268,,
48,real,,,29,0.06886779393098297,,23.025274356273677,20.84111978350909
48,margin,,,29,-0.021835197709953458,0.0,,
48,plant,2.0,0.05,29,-0.008414526994839244,0.06426157933421664,,
48,plant,2.0,0.08,29,-0.006947919838265371,0.10281852693474662,,
48,plant,2.0,0.12,29,0.008374101929594757,0.15422779040211992,,
48,plant,2.0,0.2,29,0.052207198915412256,0.25704631733686656,,
48,plant,2.0,0.3,29,0.1050839229140954,0.38556947600529984,,
48,plant,5.0,0.05,29,-0.010944491223305985,0.1112508560095462,,
48,plant,5.0,0.08,29,-0.008303662212688412,0.17800136961527394,,
48,plant,5.0,0.12,29,0.005482575349973651,0.26700205442291086,,
48,plant,5.0,0.2,29,0.047116597632186896,0.4450034240381848,,
