a,b,n,r_raw,r_adj,null_sd,z
7,55,741,0.062,0.015,0.033,0.5
7,62,605,0.16,-0.01,0.043,0.2
7,63,545,0.029,-0.036,0.037,1.0
7,67,753,0.188,-0.022,0.037,0.6
7,77,573,0.203,-0.002,0.041,0.1
7,79,916,-0.157,-0.032,0.032,1.0
7,83,1138,0.858,0.783,0.032,24.7
7,92,462,0.001,-0.119,0.048,2.5
7,93,458,0.218,0.03,0.049,0.6
8,9,1225,-0.002,-0.034,0.028,1.2
8,11,769,-0.383,-0.374,0.04,9.3
8,13,1085,-0.035,-0.029,0.029,1.0
8,19,491,-0.037,0.015,0.048,0.3
8,20,498,0.084,0.074,0.044,1.7
8,29,768,-0.088,-0.074,0.036,2.0
8,36,529,0.035,0.052,0.039,1.3
8,48,589,-0.012,-0.011,0.039,0.3
8,53,440,-0.096,-0.058,0.048,1.2
8,55,881,-0.131,-0.124,0.034,3.6
8,62,681,-0.055,-0.087,0.038,2.3
8,63,611,0.002,0.004,0.039,0.1
8,67,860,0.014,-0.017,0.035,0.5
8,77,637,0.014,-0.004,0.039,0.1
8,79,1049,-0.014,-0.003,0.03,0.1
8,83,956,0.206,0.198,0.033,6.0
8,90,444,0.08,0.074,0.048,1.5
8,92,546,-0.164,-0.171,0.042,4.1
8,93,512,-0.043,-0.057,0.044,1.3
9,11,1051,0.035,0.077,0.03,2.6
9,13,1574,0.048,0.025,0.026,1.0
9,19,804,-0.193,-0.06,0.035,1.7
