item,block,f1,f2,f3,f4,f5,f6
Animal transformations,39,0.0021024768407279537,0.016049980579189747,-0.0026640443848292747,0.0004088963568631435,0.010083091334675607,-0.00903837788230633
Body parts transformation,39,-0.0028201089726691713,-0.009838445162597935,0.005421510146201739,0.005485918900358781,-0.001306324877568203,-0.0031112665648148448
Body swapping,39,-0.0028379400049740044,-0.00885829644612185,0.006771220507523196,0.0006506239137483787,-0.003871836794931877,0.017892096478980723
Body transformation (general),39,-0.0011984478979838982,-0.013189317837488576,-0.0008592035323234364,0.002710830419068721,-0.002633931741714557,0.004129938060551378
Furries,39,-0.0024858649913796532,0.014004936142054851,0.0031862782225206628,-0.002813699109726218,-0.0011058982101424621,-0.00367813821424366
Gender transform (female to male),39,0.003609706231090394,-0.0025100011691776268,-0.0025469954960829918,-0.005280738242427582,-0.0054313897288749136,-0.008473379313552938
Gender transform (male to female),39,-0.019815008294254893,-0.0033828435467467095,0.012478121376262842,-0.004298297959804319,-0.005996864386676887,0.01949527633929066
Inanimate transformations,39,-0.0061505187932724675,-0.0020232598505133354,-0.0037994704206708563,-0.0034477275425353862,0.004017957730552588,-0.0014220609553711682
Possession,39,0.01284311576559411,0.009334544241332616,-0.0024319544818152765,0.003415222167641985,0.0018449475104969687,-0.014855769078983878
Shapeshifting,39,0.014654521948447687,0.006208155008274394,-0.009715902348328982,0.0034591921363294827,-0.00431103309972851,-0.015878520451827388
Animal body parts,42,-0.010569920041237964,0.011278322402114427,0.01129344023453031,-0.003952128041427631,0.008658676042208312,-0.0056872581850125874
Extremely huge body parts,42,-0.007548374849126434,-0.004565152362117041,-0.0038651840382088586,0.0030534047323479427,0.0022677459577599597,0.0051689031306760185
Extremely small body parts,42,-0.004731187454428254,-0.006264819610751332,0.00155726899336912,-0.0005015829245797014,0.0023988316915931934,0.010108017513454736
Fangs,42,0.021324284800461408,0.01856760409955734,-0.006757627362811417,-0.004730057495933882,-0.011198079436726738,-0.02978104309402392
Horns,42,0.016566854245339553,0.012294867896788422,-0.004392217630672399,-0.0019132157780824561,-0.008052928057459949,-0.018991135259583413
Impossibly severe obesity,42,-0.0028184475953271057,-0.012396482250394456,-0.004983528210421065,-0.008359930162125486,0.00152616818413964,0.01364391099304071
Massively giant people (e.g. skyscraper tall),42,-0.0017937449941482027,-0.0075321019003941276,0.000524957778135257,-0.006142068056822626,-0.001293142418919924,0.001802217672685426
