q,world,mode,seed,alpha,hyp,I,P,C,W
39,noI,soft,47,100.0,8.0,6.186594292412195e-10,0.08705214886264878,-0.0029514885328039233,-0.025981636614200353
39,noP,soft,47,100.0,2.0,0.1074911236369501,-0.0006528854568355243,-0.008688377004703965,-0.0037959704176809086
39,noW,soft,47,100.0,4.0,0.0932108285142057,0.10705070297401986,-0.0004847439511205809,-0.03026109121017678
39,planted,soft,47,100.0,8.0,0.06714349505966415,-0.000783173968154055,0.02452326105133929,0.06927895426044553
39,real,hard,47,100.0,1.0,0.1249196583125449,0.08290758483901828,0.008095612266860805,-0.03994693501941876
39,noW,hard,47,100.0,1.0,0.08771002609391128,0.09709195938390801,0.0002435172568676739,-0.13285764116285342
39,noC,soft,47,100.0,4.0,0.12401192447729592,0.0963034146030253,-0.005035978488695034,0.024407371692668406
42,real,soft,11,100.0,4.0,0.16996534513618777,0.08591232327509851,0.014263443452470853,0.07537301219226283
42,noI,soft,11,100.0,4.0,-2.7677443207677994e-09,0.07693694028818439,-0.007243506777526748,-0.021760670088152047
42,noP,soft,11,100.0,0.0,0.16400138999551206,-0.0007093893600953564,-0.0033302481116148177,-4.625929269271485e-17
42,noW,soft,11,100.0,4.0,0.16202312064908828,0.0930959477670711,-0.0029687320490534757,-0.025358798242091286
42,planted,soft,11,100.0,8.0,0.0723677542994981,0.001890049543313066,0.025443751464662913,0.1363922657477769
42,real,hard,11,100.0,1.0,0.16086554040699974,0.08245536946768388,0.015627964777302168,0.07262016655133141
42,noW,hard,11,100.0,1.0,0.15635910819872684,0.08444216397738415,-0.002337858023840946,-0.09855452221784347
42,noC,soft,11,100.0,4.0,0.1717130964317426,0.08548789681097724,-0.002275442316357068,0.0788521479121427
42,real,soft,29,100.0,4.0,0.1748003124488575,0.08968467808564873,0.011503065970048455,0.08008020407887598
42,noI,soft,29,100.0,4.0,-1.1183341484348e-08,0.07035745995400661,-0.006718686700013012,-0.021522435352896004
42,noP,soft,29,100.0,0.0,0.17348524628631484,-1.9752839361971322e-05,-0.001311518961069032,1.4802973661668753e-16
42,noW,soft,29,100.0,4.0,0.18231090421635252,0.0913769967671952,-0.0048067691365000585,-0.019975715437178243
42,planted,soft,29,100.0,8.0,0.05456774499584108,0.00395770182210887,0.02778481515520127,0.1276050731480452
42,real,hard,29,100.0,1.0,0.1646377350028753,0.08609451482233671,0.012430635315809485,0.0719189479533102
42,noW,hard,29,100.0,1.0,0.1729392533277302,0.08352139326171823,-0.004078167049813915,-0.08450989417984062
42,noC,soft,29,100.0,4.0,0.17352004766601922,0.08851749734116676,-0.002917710571036569,0.08301144601474918
42,real,soft,47,100.0,4.0,0.15187706488106412,0.0965701673939791,0.0166656940200292,0.06751834821806359
42,noI,soft,47,100.0,4.0,-0.0001636321252142618,0.08222051464592232,-0.0034098262334403364,-0.032504529202541294
42,noP,soft,47,100.0,0.0,0.17362872235223503,2.3225047311207597e-05,-0.0040505388803049325,1.4802973661668753e-16
42,noW,soft,47,100.0,4.0,0.17225772841744855,0.10334058888350185,0.0031879135632652913,-0.024538329633900884
42,planted,soft,47,100.0,8.0,0.08179425478162394,0.0054432919080451,0.02000805837716572,0.11243470289136648
42,real,hard,47,100.0,1.0,0.1434346953005361,0.09228268855429803,0.017412633330930793,0.060103034020978004
42,noW,hard,47,100.0,1.0,0.16742910309750475,0.09199009293964887,0.003275329716307146,-0.08802857779816711
42,noC,soft,47,100.0,4.0,0.1509112205614295,0.09737091939951198,-0.0022724241532777094,0.06937825093522271
48,real,soft,11,100.0,4.0,0.2101086823494874,0.07651745671597829,0.006901354478154884,0.05976455794923721
