q,Kw,seed,world,arm,brier_I,brier_P,brier_C,brier_W,l1_I,l1_P,l1_C,l1_W
8,2,29,real,real,0.1236969247636805,0.14284169539009522,-0.0003022021883049564,-0.0874351625566683,0.10018109374439255,0.18056586323016968,0.0038155802720175143,0.05618657438525553
8,2,29,null,real,0.11655561037599714,0.14862572940829638,0.0004164133331163537,-0.1755028452504455,0.09518427147470913,0.1884941151512082,0.0008269453437443804,-0.0016568514327059505
8,2,29,real,permC,0.12424940511629029,0.14312562104745796,-0.00033306240819889566,-0.08520088702053753,0.10041835217950304,0.18133549721412331,0.0004946676201279439,0.057591315450590715
8,4,29,real,real,0.1231028302764474,0.15057004491778156,0.0009745533769824251,-0.1095615389740723,0.09525847474756205,0.17200969689158288,0.0037653173531533115,0.0793139303452425
8,4,29,null,real,0.11257240436208193,0.16978190265322793,-6.252046423626162e-05,-0.3530840254313676,0.09243803262811652,0.18003593421603492,0.0005548544742213409,-0.02922641789940572
8,4,29,real,permC,0.12298502557842043,0.14982644332746153,-0.0009370379668441805,-0.1092079945618742,0.0952487893752989,0.17250609908654643,0.00023431209913610251,0.08050857880845005
8,8,29,real,real,0.13400275468407252,0.16525322707653609,0.0023121872801966925,-0.24301244270465042,0.0934016082698903,0.16765755520082296,0.004480480179561874,-0.01800710021581627
8,8,29,null,real,0.11862772420714765,0.19451106174394728,0.000722343149770858,-0.19987284014670978,0.0946423823366473,0.17607535181722828,0.0010976454948722534,-0.05617378775379215
8,8,29,real,permC,0.13395164713040442,0.16629197600940043,-0.0007340801989901464,-0.24379357442781255,0.09356455334000116,0.1683656276375423,0.0001842305687762465,-0.01757769610937714
13,1,11,real,real,0.31177459073783675,0.11816565362616148,0.004145524653771372,-0.015430129990187585,0.2959808002579296,0.1241172957823219,0.004534306786789381,0.0261791099969169
13,1,11,null,real,0.29996998361955024,0.12245125591616439,0.0004384175204315739,-0.024376397981997956,0.29264100654365677,0.1276227941616392,0.0011295176603652126,0.02092807969005228
13,1,11,real,permC,0.31212192382116294,0.11761359804722803,6.281674992076697e-05,-0.014474700516877853,0.2965714333690136,0.12423788652803028,0.0002903286051398705,0.026980711677493975
13,2,11,real,real,0.3122517349509932,0.12200426262940625,0.004140390011425132,-0.04496661279548736,0.29435382778453895,0.12175582191818553,0.004492675412555121,0.028531408177461262
13,2,11,null,real,0.3011359462676091,0.1229697680235113,0.0004859723079937983,-0.07166696904916926,0.29074002643603036,0.12486902529211678,0.0011291431278717123,0.012729174340025904
13,2,11,real,permC,0.31271834637411977,0.12157377171288128,5.523561233281017e-05,-0.04401362981741934,0.29491511390406294,0.12179630671784777,0.0002675060705442471,0.02935181869767698
13,4,11,real,real,0.31381653310056634,0.11913679761898627,0.004550611545744866,-0.08543204198643292,0.291735615476275,0.120080457163489,0.004380282946890126,0.0416851115194988
13,4,11,null,real,0.29971562835822607,0.12402261251149986,0.00041635891425833194,-0.13109868521311158,0.288225325556969,0.12214928415296553,0.0009546453062592348,0.011091315389450757
13,4,11,real,permC,0.31425971792779167,0.11885297579764734,2.6425965559712106e-05,-0.08491809018945774,0.29223946342223367,0.12003799788103266,0.00021026877414922113,0.04256067720898449
13,8,11,real,real,0.305633017547972,0.11656705462726433,0.0032797260978192446,-0.1666475541538268,0.2822787490197231,0.11867147706918826,0.0036761477258788018,0.029176486623130955
13,8,11,null,real,0.2958401762240396,0.12458316712007007,0.00046919546531430184,-0.24682061913747336,0.28206713629435287,0.11633082859752664,0.0008450639374231831,-0.011830705551872331
13,8,11,real,permC,0.3066136030596867,0.11624134955614902,0.00014808385352334716,-0.16474105902096234,0.2830972409504592,0.1189570295554401,0.00022805812873463727,0.03077397688821338
13,1,29,real,real,0.3086323826661939,0.11799869738514873,0.0033810587987574323,-0.013353197689905975,0.2922202745193905,0.12215896829220964,0.0036213299204401377,0.027125584660716167
13,1,29,null,real,0.30330955518877806,0.11861261211312815,0.0002451961627529993,-0.03162958596870182,0.2916650981502589,0.12417745135032729,0.0005879466264460027,0.017447515573858367
13,1,29,real,permC,0.30850750889052214,0.1178221445984524,-0.000670414978006147,-0.012393550579737678,0.29283184969850495,0.12229944114581556,-0.0003369962669968381,0.027972150315481163
13,2,29,real,real,0.30934263989202526,0.12227991018052205,0.003346020298945679,-0.04498296420137009,0.29054821037590517,0.12004860961684011,0.0035712931515911313,0.029074283296286686
13,2,29,null,real,0.3047317614437144,0.11924076928825987,0.00030572508390080966,-0.06758870749702196,0.28947332411402277,0.12204514988549428,0.0005901887793099969,0.015275109072726684
13,2,29,real,permC,0.3091055012053556,0.12214449696934031,-0.0006426988719368069,-0.043960562485320695,0.2911328900292598,0.12010058801362987,-0.00031319436985851234,0.02999468761703901
13,4,29,real,real,0.3096075219157716,0.11906208128763114,0.003753783286811632,-0.077196091889288,0.28784756507985654,0.11829522427123638,0.003420539653601349,0.047468229167956635
13,4,29,null,real,0.3027794524764665,0.11881769221735373,-7.657180900187216e-06,-0.13918727143212875,0.28810644204512115,0.11814242856105435,0.000397124849719932,0.011134317434853809
13,4,29,real,permC,0.30974176438025725,0.11896481842805932,-0.0006688040554015949,-0.07660755834456935,0.2883829971795119,0.11833057728221284,-0.00032686395971216287,0.04852571739684509
13,8,29,real,real,0.30352130207907696,0.11477243069432848,0.0025657293502508913,-0.1668767843233339,0.27896882930409467,0.11427317068329047,0.002887302119614669,0.030280123185269275
13,8,29,null,real,0.29918984258390025,0.11933614207780627,0.00015722558714628687,-0.22036726054243191,0.2819900403897446,0.11403221576094846,0.0003518684131289066,0.0012824865001716257
13,8,29,real,permC,0.3038603447714444,0.11487784279872502,-0.0005647768999088679,-0.16499616968656178,0.27969471113526573,0.11448399820579185,-0.00030120501643259484,0.03189650789142398
17,1,11,real,real,0.18813823407810662,-0.030329440055829535,0.009785300980400518,-0.09123729273381784,0.16719388159215745,0.035032118665134546,0.007560096352285263,0.007666861565840058
17,1,11,null,real,0.1882212721997768,-0.007112513217609546,-0.0015723970186296934,-0.1425229219539345,0.16770079199759047,0.04709974009030617,-8.61458544309801e-05,-0.020685017051773676
