q,K,seed,world,n,m,I,P,X
36,1,11,g0,2859,24,0.02885771226995955,0.008026647922891336,-0.015087558815720305
36,1,11,g1,2859,24,0.07501298579958271,0.06549338831157125,0.1771884648274462
36,1,29,real,2859,24,0.13394949382079835,0.10886794496313641,-0.013046141496343958
36,1,29,g0,2859,24,0.034837074215217256,0.010145540034415645,-0.01771936594846113
36,1,29,g1,2859,24,0.08592008485012434,0.05806604971403748,0.16614878900528574
36,1,47,real,2859,24,0.14624844288949684,0.10323952368766659,-0.008528742701273018
36,1,47,g0,2859,24,0.021704810534075525,0.01808959515034747,-0.015184411900949487
36,1,47,g1,2859,24,0.10247578284781089,0.0667360852237211,0.12105915568948955
36,2,11,real,2859,24,0.1426663825314644,0.09959071951650073,0.01384202600922646
36,2,11,g0,2859,24,0.017605639006168163,0.009900642981342783,-0.02512327676874195
36,2,11,g1,2859,24,0.07550141501754444,0.06733755025007788,0.1350618518005488
36,2,29,real,2859,24,0.13365998085890235,0.10813596658399345,-0.005194704967768119
36,2,29,g0,2859,24,0.023759399696918405,0.013938555048326843,-0.02836785712618047
36,2,29,g1,2859,24,0.0849116084255999,0.06181737992666336,0.1252341029202389
36,2,47,real,2859,24,0.14531451799647932,0.1035305446328364,0.0192904902477381
36,2,47,g0,2859,24,0.010977369630095081,0.021561036255618816,-0.02953294292990984
36,2,47,g1,2859,24,0.10138816981496836,0.06708710335007746,0.07780619391672705
39,1,11,real,1703,12,0.10876479213400889,0.06511646117486594,0.02300912927088459
39,1,11,g0,1703,12,0.05530999525201589,0.005793617302320568,-0.02887894500475692
39,1,11,g1,1703,12,0.0659101829213456,0.04230895730483625,0.10965401854336687
39,1,29,real,1703,12,0.11909723430363833,0.07579755048434626,0.014494227422822914
39,1,29,g0,1703,12,0.04348005253885974,-0.00802967975865946,-0.03528691520735131
39,1,29,g1,1703,12,0.085811991056039,0.028516200206157707,0.13922465521288174
39,1,47,real,1703,12,0.1290391775033481,0.05827690508589052,-0.009300111877853437
39,1,47,g0,1703,12,0.041807355321974306,-0.008739495434175534,-0.02320649950997263
39,1,47,g1,1703,12,0.08698160417062722,0.09689301877177019,0.1599179740297293
39,2,11,real,1703,12,0.10556792437945314,0.07078015836951171,0.017132400149068455
39,2,11,g0,1703,12,0.04241053367087999,0.00654726064786415,-0.05996804157881497
39,2,11,g1,1703,12,0.06480115866370872,0.0493122906943525,0.0157336340816836
39,2,29,real,1703,12,0.1171107395904138,0.07884834148251141,0.011980587247764758
39,2,29,g0,1703,12,0.0291827076116569,-0.001216924397035763,-0.051369813033582415
39,2,29,g1,1703,12,0.08416350940604224,0.03324846573288655,0.07917805918736072
39,2,47,real,1703,12,0.1246916697954796,0.06428619115801124,-0.010689640351252933
39,2,47,g0,1703,12,0.029873782762704356,-0.0055114111225582066,-0.029362733323985812
39,2,47,g1,1703,12,0.08569450161254982,0.09720472572593636,0.08048107312709725
42,1,11,real,1665,18,0.16710514110123847,0.07201496632969108,0.08672119090358334
42,1,11,g0,1665,18,0.04543358085835482,0.038677645477017034,-0.010663962451664824
42,1,11,g1,1665,18,0.10811180770194832,0.041934666405994574,0.0952488683069369
42,1,29,real,1665,18,0.1691265889400855,0.07472719945833611,0.08991229354596009
42,1,29,g0,1665,18,0.045199498402519835,0.03511912213581001,-0.012181798889348356
42,1,29,g1,1665,18,0.10568943884844559,0.08234367097928466,0.12889399368304186
42,1,47,real,1665,18,0.14663985602237667,0.08473699235690808,0.07953400641723903
