v_page,v_val,v_kind,v_win
README.md,28%,孤立,100
README.md,15.7%,孤立,100
README.md,+0.6301,可核而未核,100
README.md,0.105,可核而未核,100
README.md,68,可核而未核,100
README.md,0.2600,可核而未核,100
README.md,0.93,孤立,100
README.md,+0.7986,孤立,100
README.md,+0.5340,孤立,100
README.md,+0.9332,孤立,100
README.md,+0.2243,可核而未核,100
README.md,+0.4401,可核而未核,100
README.md,0.014,孤立,100
README.md,0.42,孤立,100
README.md,+0.2479,孤立,100
README.md,+0.3438,孤立,100
README.md,0.4286,孤立,100
README.md,+0.0450,可核而未核,100
README.md,+0.3536,可核而未核,100
README.md,+0.3087,可核而未核,100
README.md,+0.2421,孤立,100
README.md,+0.0459,孤立,100
README.md,+0.8451,孤立,100
README.md,+0.4401,孤立,100
README.md,+0.2288,孤立,100
README.md,+0.9215,孤立,100
README.md,0,孤立,100
README.md,0,孤立,100
README.md,0,孤立,100
README.md,+0.0797,孤立,100
README.md,+0.3579,孤立,100
README.md,0.5281,孤立,100
README.md,0.1501,孤立,100
README.md,0.0863,可核而未核,100
README.md,+0.3553,孤立,100
README.md,+0.3579,孤立,100
README.md,+0.8451,孤立,100
README.md,0.0417,可核而未核,100
README.md,1.0962,孤立,100
README.md,+0.8248,孤立,100
README.md,+0.4957,孤立,100
README.md,+0.5273,孤立,100
README.md,0.0008,孤立,100
README.md,+0.0191,可核而未核,100
README.md,1.000,孤立,100
README.md,0.3552,孤立,100
README.md,0.9074,孤立,100
README.md,0.8464,孤立,100
README.md,+0.4680,孤立,100
README.md,+0.0988,孤立,100
README.md,3,孤立,100
README.md,1,孤立,100
README.md,+0.3750,可核而未核,100
README.md,−0.0019,可核而未核,100
README.md,150,可核而未核,100
README.md,0.872,孤立,100
README.md,0.000,孤立,100
README.md,0.335,孤立,100
README.md,0.062,孤立,100
README.md,0.416,孤立,100
README.md,0.346,孤立,100
README.md,−0.149,孤立,100
README.md,−0.220,孤立,100
README.md,0.0551,可核而未核,100
README.md,0.416,可核而未核,100
README.md,0.0162,可核而未核,100
README.md,0.3354,可核而未核,100
README.md,0.0005,可核而未核,100
README.md,−0.4164,孤立,100
