q,K,seed,n,m,full,I,P,X,I_share,P_share,X_share
81,8,11,1655,19,0.038515905661554606,0.18320859635526726,0.05148860935273636,-0.19618130004644901,0.7806168624913437,0.21938313750865632,-0.8358910769927367
81,8,29,1655,19,0.04453533762540551,0.17447074362098933,0.03565654614378455,-0.1655919521393684,0.8303097794498747,0.16969022055012523,-0.7880554321370614
81,8,47,1655,19,-0.01526665627041024,0.15301957188879464,0.05486418788528882,-0.2231504160444937,0.736082376300524,0.26391762369947597,-1.0734384267775472
83,1,11,1604,10,0.2774815735679075,0.09105341785610753,0.06935787248084174,0.11707028323095818,0.3281422138606412,0.24995487660324925,0.4219029095361095
83,1,29,1604,10,0.28160526561135146,0.08812686099707435,0.06289539289890274,0.13058301171537434,0.31294464897790597,0.2233459405042014,0.46370941051789255
83,1,47,1604,10,0.29495764236348343,0.08555215573332034,0.08637729288230403,0.12302819374785903,0.2900489543101662,0.29284643106775043,0.4171046146220833
83,2,11,1604,10,0.20224792317347573,0.09019650292186962,0.07957844719506604,0.032472973056540046,0.44596998330857845,0.39346978671720945,0.16056022997421213
83,2,29,1604,10,0.21027336718362133,0.09001306024223904,0.07249316407868123,0.04776714286270106,0.42807637242825475,0.3447567566432535,0.22716687092849175
83,2,47,1604,10,0.24709186817873496,0.08517312935029667,0.09536932692535852,0.06654941190307975,0.3447022760323554,0.3859670802940901,0.26933064367355447
83,4,11,1604,10,0.12461711148504839,0.0932688433424172,0.08763734594238272,-0.056289077799751536,0.5155646896944163,0.4844353103055838,-0.3111506467649698
83,4,29,1604,10,0.11243954254488808,0.0873832168121122,0.07612209781820178,-0.05106577208542589,0.534436553390854,0.4655634466091459,-0.3123187292161466
83,4,47,1604,10,0.1630208443974981,0.08205853870595273,0.10194627339762832,-0.020983967706082976,0.4459586560147126,0.5540413439852874,-0.11404032028396388
83,8,11,1604,10,-0.015137937335347074,0.09674122107447952,0.09015992760576814,-0.20203908601559478,0.5176063483696688,0.4823936516303313,-1.0809943515181133
83,8,29,1604,10,-0.007787521077658344,0.0949515636461571,0.08424283863328742,-0.18698192335710287,0.5298801884340393,0.4701198115659607,-1.043458506396389
83,8,47,1604,10,-0.020375641287855073,0.09136947043675708,0.10360731381962734,-0.21535242554423945,0.46861717811804166,0.5313828218819583,-1.1045029097467425
85,1,11,2190,22,0.3827372174095295,0.2593090861760643,0.09688718516820877,0.02654094606525642,0.6775120745537613,0.2531428373335831,0.06934508811265554
85,1,29,2190,22,0.39795614599074447,0.26279418871832544,0.10410729480147915,0.03105466247093983,0.6603596686868042,0.2616049427815608,0.07803538853163507
85,1,47,2190,22,0.3705108952785233,0.24667822530010308,0.09665024611478874,0.02718242386363147,0.6657786004232568,0.2608566909810684,0.07336470859567487
85,2,11,2190,22,0.38729068641787634,0.2587936809729517,0.09877947985917897,0.029717525585745655,0.6682156066457023,0.25505255696388873,0.07673183639040894
85,2,29,2190,22,0.39611847313179327,0.2630367994592697,0.10554771167322059,0.02753396199930293,0.6640356794765144,0.26645490890323525,0.06950941162025044
85,2,47,2190,22,0.36302682161387745,0.24805894712552476,0.09744009180342295,0.017527782684929678,0.683307492330044,0.26841017247772997,0.04828233519222604
85,4,11,2190,22,0.370392467858093,0.26394948365445603,0.10669846770514874,-0.00025548350151177713,0.7121298868272193,0.2878701131727807,-0.0006892888536807413
85,4,29,2190,22,0.3768324477069094,0.26071974157877664,0.1103179027429666,0.005794803385166136,0.6918717938577247,0.2927505404968975,0.015377665645377719
85,4,47,2190,22,0.34845527188950765,0.24863085432645296,0.10183326130943206,-0.002008843746377423,0.7094331294812739,0.2905668705187261,-0.0057319527356818264
85,8,11,2190,22,0.2414682156357889,0.2663363455790735,0.1078111229410009,-0.1326792528842855,0.7118485837484252,0.2881514162515747,-0.3546175346557684
85,8,29,2190,22,0.2674017030826257,0.2618219212287013,0.11511764631296992,-0.10953786445904558,0.6945991977872062,0.30540080221279364,-0.29059794696914115
85,8,47,2190,22,0.257511383754467,0.25159590504692997,0.10590939791616161,-0.09999391920862455,0.7037543302480871,0.2962456697519129,-0.27969912160700955
90,1,11,3701,10,0.438460109233758,0.3279954629835532,0.07646700328202849,0.03399764296817631,0.7480622662726375,0.17439899701630857,0.07753873671105393
90,1,29,3701,10,0.44952906719378827,0.33583134953536586,0.07370110474965576,0.03999661290876662,0.7470737134570917,0.1639518111915193,0.08897447535138904
90,1,47,3701,10,0.4563230827580881,0.3265680354233682,0.08539951912504179,0.044355528209678086,0.7156509231344159,0.1871470507449979,0.09720202612058618
