q,Kc,Kw,seed,world,I,P,C,W
4,4,1,11,margin,0.26830384407661856,0.030018569934367356,-0.003734662865718071,-0.08943975298606582
4,4,1,11,both,0.2683768976291,0.030050326374668257,-0.0016842536856691013,-0.08928851916621008
4,4,2,11,real,0.2546650788981482,0.05378716772093234,0.006128314937164869,0.006843620488908223
4,4,2,11,permC,0.25369557230270606,0.053357628899169854,-0.0005401928005869434,0.007290099564717989
4,4,2,11,margin,0.2592848776958204,0.03573048046269176,-0.0035213010171744976,-0.15290741638982425
4,4,2,11,both,0.25945596113153935,0.03578127287318482,-0.0015682290643407593,-0.15285351979718376
4,4,4,11,real,0.25058512689338897,0.051616964120881875,0.005241485780139971,-0.017233187268116075
4,4,4,11,permC,0.2495177699000774,0.05091276684700152,-0.00037114620846824076,-0.015730832443162708
4,4,4,11,margin,0.2508003052211272,0.04864668484276356,-0.003208827236569215,-0.24695903660659432
4,4,4,11,both,0.2509265021377892,0.04864426386734662,-0.0016247993188074719,-0.24727418404902582
4,8,1,11,real,0.264805893752267,0.04606678217076779,0.009288390080614356,0.03851206291195209
4,8,1,11,permC,0.2631302485957113,0.045956877440826396,-0.001329992900368467,0.03853404510500219
4,8,1,11,margin,0.26790595368986114,0.02994631243243026,-0.004041138026797832,-0.08906528487906887
4,8,1,11,both,0.26817824370756566,0.03007425177887086,-0.0023639210265569977,-0.08907316126640613
4,8,2,11,real,0.255122825891613,0.053302137984752786,0.010093213503459653,0.008182827243108723
4,8,2,11,permC,0.25340506420718656,0.05336766113362187,-0.0009927506139446873,0.007737228299737303
4,8,2,11,margin,0.25885359294580845,0.03553605961077872,-0.0037796145219521253,-0.15248478662652518
4,8,2,11,both,0.25915708780968505,0.035675044913052484,-0.0023912569445893317,-0.15278152243674048
4,8,4,11,real,0.2506601322927531,0.05132634491706263,0.009018588486347196,-0.016081776374003133
4,8,4,11,permC,0.24928523666256683,0.05087466074785366,-0.000645382778598047,-0.015105382464915457
4,8,4,11,margin,0.25062544578493523,0.04847689184389163,-0.002944670494615627,-0.24601393659656404
