a,b,kind,dose,level,n,mval,e
4,22,cross,age_first,2,632,16.88528481012658,-0.08867724646881825
3,4,cross,gap,1,2497,2.5364437324789746,-0.03323396123908068
3,4,cross,gap,2,1285,7.151750972762646,-0.039569899422815635
3,4,cross,age_first,0,676,8.11094674556213,-0.05560847669066604
3,4,cross,age_first,1,870,11.5,-0.03335169562422391
3,4,cross,age_first,2,2236,14.990384615384615,-0.03602981732945898
1,26,same,gap,1,1129,2.930026572187777,0.018576928215448985
1,26,same,gap,2,685,8.7014598540146,-0.031328858980295804
1,26,same,age_first,0,408,7.8713235294117645,-0.035000917421784516
1,26,same,age_first,1,378,11.5,0.06272737316522708
1,26,same,age_first,2,1028,15.14056420233463,-0.001442967964686459
10,30,cross,gap,0,1213,2.0,-0.005013759889294811
10,30,cross,gap,1,1059,4.091595845136921,-0.04629759629329078
10,30,cross,gap,2,1734,8.816608996539792,0.015315644985049781
10,30,cross,age_first,0,909,8.573707370737074,-0.005904031073661775
10,30,cross,age_first,1,1155,11.5,-0.037424328825591324
10,30,cross,age_first,2,1942,14.84114315139032,-0.012374966282566235
1,29,same,gap,1,1519,2.010862409479921,-0.06352594798481792
1,29,same,gap,2,1632,6.136642156862745,-0.035262948188037324
1,29,same,age_first,0,902,7.845343680709535,-0.030709905125741788
1,29,same,age_first,1,772,11.5,-0.05378214439038109
1,29,same,age_first,2,1477,14.785037237643873,0.015520591012661678
10,15,same,gap,1,663,3.0497737556561084,-0.05051470075116915
10,15,same,gap,2,343,8.520408163265307,0.06089616303720857
10,15,same,age_first,0,328,9.621951219512194,0.06343393216494125
10,15,same,age_first,2,446,17.16031390134529,-0.07510757281502178
3,20,cross,gap,1,1084,2.8265682656826567,-0.03771633391970125
3,20,cross,gap,2,543,8.534990791896869,0.0012576996058576428
3,20,cross,age_first,0,448,7.626116071428571,-0.013586856547904702
3,20,cross,age_first,1,378,11.5,-0.0025766685356064523
3,20,cross,age_first,2,801,15.049937578027466,0.00846137458493268
12,26,cross,gap,1,598,2.6387959866220734,-0.014239519800243128
12,26,cross,gap,2,454,7.276431718061674,-0.0643459395332675
12,26,cross,age_first,1,482,12.703319502074688,0.01645763068072781
12,26,cross,age_first,2,384,16.53125,-0.012178758400364087
12,29,cross,gap,1,1216,2.680098684210526,-0.01958444966981121
12,29,cross,gap,2,731,8.003419972640218,-0.019546621159490574
12,29,cross,age_first,0,492,7.909552845528455,-0.0301718776530166
12,29,cross,age_first,1,442,11.5,-0.08153259830263537
12,29,cross,age_first,2,1013,14.907699901283317,-0.05967569749275581
9,11,same,gap,1,603,2.567993366500829,-0.017495380375626868
9,11,same,gap,2,419,7.526252983293556,-0.0028361181581292305
9,11,same,age_first,2,585,15.316239316239317,0.011197334706196993
2,5,cross,gap,1,1341,2.496271439224459,-0.02973667737866581
2,5,cross,gap,2,1213,6.896949711459192,-0.0067157684191059275
2,5,cross,age_first,0,741,9.70310391363023,-0.02035359949073645
2,5,cross,age_first,1,621,13.5,0.0173484185126197
2,5,cross,age_first,2,1192,16.977768456375838,-0.03500897430182326
13,29,same,gap,1,1034,2.7176015473887816,-0.022714013778053266
13,29,same,gap,2,621,7.919484702093397,0.06377777106305305
13,29,same,age_first,0,426,7.922535211267606,0.0011230627140722538
13,29,same,age_first,1,410,11.5,-0.012165048422678959
13,29,same,age_first,2,819,14.815628815628816,-0.0064253299367970085
1,3,cross,gap,1,1168,2.006421232876712,-0.04235040754850128
1,3,cross,gap,2,1157,6.0656871218668975,0.02195970937518521
1,3,cross,age_first,0,614,7.719055374592834,-0.0997081613181745
1,3,cross,age_first,1,566,11.5,0.06485381591281136
1,3,cross,age_first,2,1145,14.812227074235809,-0.04043802898902582
10,12,same,gap,1,746,2.5971849865951744,-0.00798149895242084
10,12,same,gap,2,494,7.469635627530365,0.0717801172086151
10,12,same,age_first,1,557,12.659784560143626,0.013638277648362396
10,12,same,age_first,2,439,16.52277904328018,0.02870885474495377
1,16,same,gap,0,350,2.0042857142857144,-0.013761200996542267
1,16,same,gap,1,406,4.644088669950739,-0.040290828287481206
1,16,same,gap,2,396,9.7739898989899,-0.10669388199440522
1,16,same,age_first,0,271,7.8468634686346865,-0.02845258872824319
