q,dens,scale,seed,skill,pp,pp_carriers
7,1.0,0.3,29,0.07001315567718758,35.42941194588338,35.42941194588338
7,1.0,0.5,29,0.11260151143236619,41.04788119299802,41.04788119299802
8,0.05,0.0,11,-0.016895640250177202,0.0,0.0
8,0.05,0.08,11,-0.017452390307935994,9.561150421008445,41.362307958067085
8,0.05,0.12,11,-0.0194604573873447,10.257903864739397,44.33554047824922
8,0.05,0.2,11,-0.020275157838782976,10.837061170815149,46.8002675592534
8,0.05,0.3,11,-0.019976003075887316,11.117255772805887,47.98260877922685
8,0.05,0.5,11,-0.020083984461523485,11.352188097999806,48.95897451000922
8,0.15,0.0,11,-0.016895640250177202,0.0,0.0
8,0.15,0.08,11,-0.014833430598358177,14.197600723421994,35.596493259076404
8,0.15,0.12,11,-0.012905542825587979,16.160576111404694,40.499409691051525
8,0.15,0.2,11,-0.015901229509217574,17.76630678396596,44.5046593636526
8,0.15,0.3,11,-0.013497385086687075,18.573093314527085,46.52004718178519
8,0.15,0.5,11,-0.012854177904622066,19.23561463727522,48.169853535553834
8,0.3,0.0,11,-0.016895640250177202,0.0,0.0
8,0.3,0.08,11,-0.010164401020093639,16.295055406561225,29.739936833772123
8,0.3,0.12,11,-0.0037054306146468985,19.6534830329513,35.854619660406776
8,0.3,0.2,11,0.0014756896593319802,22.838730634566556,41.63890608187248
8,0.3,0.3,11,0.0035028900800084806,24.42357527613663,44.51034475567023
8,0.3,0.5,11,0.0058904962703649755,25.726890480732273,46.8709563342289
8,1.0,0.0,11,-0.01172139463241273,0.0,0.0
8,1.0,0.08,11,-0.012500302496215365,20.026324718527313,20.026324718527313
8,1.0,0.12,11,0.04022525514508324,26.883941098263314,26.883941098263314
8,1.0,0.2,11,0.1250763458498415,34.84259774161266,34.84259774161266
8,1.0,0.3,11,0.1941517837249006,39.83839597885863,39.83839597885863
8,1.0,0.5,11,0.2384662905385524,44.07055413796997,44.07055413796997
8,0.05,0.0,29,-0.03385794507280071,0.0,0.0
8,0.05,0.08,29,-0.03296024972769329,8.978445838507417,40.58733790262315
8,0.05,0.12,29,-0.033158743650048894,9.817728454341761,44.34643125102781
8,0.05,0.2,29,-0.034308161725152386,10.48239564753872,47.285015196613045
8,0.05,0.3,29,-0.034154221256113226,10.787484290573286,48.634586116478914
8,0.05,0.5,29,-0.03363820466532541,11.065624782963285,49.86821905730259
8,0.15,0.0,29,-0.03385794507280071,0.0,0.0
8,0.15,0.08,29,-0.03054448223710593,12.040456689625215,30.830259488396123
8,0.15,0.12,29,-0.03134475199545528,14.301103451824423,36.58873502073152
8,0.15,0.2,29,-0.03052625718167068,16.434842753711475,41.99641757424633
8,0.15,0.3,29,-0.0324895139599779,17.534557483102763,44.7584413451529
8,0.15,0.5,29,-0.03078561544825842,18.478567381640875,47.12606239338496
8,0.3,0.0,29,-0.03385794507280071,0.0,0.0
8,0.3,0.08,29,-0.03195751963636817,14.255543008673815,25.821688777052763
8,0.3,0.12,29,-0.025941287098398158,17.62799596514895,31.922214502483104
8,0.3,0.2,29,-0.023703379007319336,21.32535012777128,38.59618590529749
8,0.3,0.3,29,-0.019183031472582046,23.46715624370042,42.44637737095917
8,0.3,0.5,29,-0.01721899697935214,25.26467923817391,45.664219352163
8,1.0,0.0,29,-0.013075720568563654,0.0,0.0
8,1.0,0.08,29,-0.020042668848159417,16.986595340624767,16.986595340624767
8,1.0,0.12,29,-0.005923673992068279,23.07161721442625,23.07161721442625
8,1.0,0.2,29,0.02831542125399178,30.861705760086988,30.861705760086988
8,1.0,0.3,29,0.07389878809732597,36.46811647188353,36.46811647188353
8,1.0,0.5,29,0.11686620646798362,41.87820361871062,41.87820361871062
13,0.05,0.0,11,-0.0073322634421085775,0.0,0.0
13,0.05,0.08,11,-0.005914067962168867,8.673661396266166,36.89704272279427
13,0.05,0.12,11,-0.005291710347712364,9.947967144654767,41.96399369107775
13,0.05,0.2,11,-0.0047855317462462965,11.146091864713794,46.67291829551235
13,0.05,0.3,11,-0.004230294695728443,11.792780818703964,49.1986283942455
13,0.05,0.5,11,-0.0037974860938279065,12.304757207428706,51.17117311421834
13,0.15,0.0,11,-0.0073322634421085775,0.0,0.0
13,0.15,0.08,11,-0.002591865676887517,11.629950796434912,28.767751408854416
13,0.15,0.12,11,0.0009811030972635137,14.334104218899919,35.172941986851406
13,0.15,0.2,11,0.007388612306139408,17.26120305113828,41.94120467733632
13,0.15,0.3,11,0.011861909907832646,19.005592381918312,45.91874065272006
13,0.15,0.5,11,0.01637967183037059,20.497375361511708,49.29652912196364
13,0.3,0.0,11,-0.0073322634421085775,0.0,0.0
13,0.3,0.08,11,0.0004945838738230623,12.77543137535252,23.073150242790568
13,0.3,0.12,11,0.008286027214172154,16.456557176773728,29.55139187503904
13,0.3,0.2,11,0.023314080521510627,20.99838294760466,37.38120411343286
13,0.3,0.3,11,0.03634785744762048,24.0084320232892,42.46981097232911
13,0.3,0.5,11,0.058644326117452183,26.785913215544245,47.11272211179413
13,1.0,0.0,11,-0.009459076141158373,0.0,0.0
