q,K,seed,world,I,P,C,W
4,8,29,rowshuf,-0.0012174236152447022,0.008365197548934963,-0.0026986083138263077,-0.6350745823325856
4,8,29,colshuf,0.24799369458274959,-0.0365794251532925,-0.002017363592380648,-0.16808181854719537
7,1,11,real,0.09811486658088982,0.11120286560203278,0.01441648207778228,0.07201019555256243
7,1,11,permC,0.09831103144754888,0.10959222097760085,0.0012559008613579798,0.07709912669858805
7,1,11,margin,0.11565426870310447,0.08905689888511868,-0.0020409620823068813,-0.10535477621338762
7,1,11,rowshuf,-0.0019489047275312124,0.034981415624213544,0.002388443596786527,-0.12012738069159981
7,1,11,colshuf,0.08567289980331923,-0.12817011251562122,-0.0013138350613484024,-0.11747976856847901
7,2,11,real,0.09530255916158559,0.11916933862041117,0.015193963734489186,0.054993581730800226
7,2,11,permC,0.09506928182937129,0.11745154247764654,0.00024652765096422335,0.061950103938021306
7,2,11,margin,0.11291015261750569,0.10330989734952388,-0.002354647259380338,-0.2006418399554039
7,2,11,rowshuf,-0.0022071755759404026,0.0562557254787758,0.0010920607862959322,-0.21427384894072862
7,2,11,colshuf,0.08624692250842113,-0.11890708812320204,-0.002903994492249919,-0.23744953744501723
7,3,11,real,0.09344132995046796,0.13155468432143358,0.013891584190768596,-0.007928365406808507
7,3,11,permC,0.09350112007910166,0.1305410508463869,-0.0012004739764327939,-0.001226828535421675
7,3,11,margin,0.11239618695472865,0.1142394938063279,-0.002706069578239406,-0.27926653155923964
7,3,11,rowshuf,-0.0016079774401860647,0.07337230177012807,0.0014527034219648423,-0.3030328880033879
7,3,11,colshuf,0.0882852440453122,-0.1055649608576243,-0.00327670763633292,-0.33209804596523707
7,5,11,real,0.09875962499939749,0.13342051872855631,0.01672151203437569,-0.07025011294385197
7,5,11,permC,0.09930668402537238,0.13282640252387912,-0.001875966803923601,-0.06180614528456172
7,5,11,margin,0.1090665324872901,0.11656231510720698,-0.004542122493113199,-0.4115650519500762
7,5,11,rowshuf,-0.0015654763301240031,0.06918045012263482,-0.002562493979430896,-0.42832356207080446
7,5,11,colshuf,0.0857332905386983,-0.09184722445696002,0.0003188445571762252,-0.4488591471035205
7,8,11,real,0.10706002142552722,0.12910876517883357,0.036973286856702633,-0.15094481257568199
7,8,11,permC,0.10659155936531764,0.1240915518738839,-0.0010290186559824555,-0.14274622472354015
7,8,11,margin,0.11805979720169346,0.14084198825122718,-0.005762312398891356,-0.18903976979624904
7,8,11,rowshuf,-0.0018175604629260913,0.07624553163857772,-0.0019132533482034972,-0.39999720659070626
7,8,11,colshuf,0.09582087003883913,-0.10258889154139834,-0.0044917651482574055,-0.128683922934127
7,1,29,real,0.08436220574214984,0.12361128613182208,0.009005444830499854,0.06979731721067892
7,1,29,permC,0.08415832428097343,0.12130632078636432,-6.300598002739742e-05,0.07543181142775598
7,1,29,margin,0.09659916176596202,0.11332769028044579,0.0001824379283942301,-0.11146358389878162
7,1,29,rowshuf,-0.0006123256412575533,0.060113165856490146,-0.0007430493872814803,-0.09375956655496134
7,1,29,colshuf,0.08694366647526264,-0.11832485898294333,-0.003732396184332733,-0.1652452851464482
7,2,29,real,0.0821389679729142,0.12981108160361665,0.012313952358213993,0.04679134566866903
7,2,29,permC,0.08181494406290782,0.12949837724385457,-0.0014184878263227563,0.0550775966851527
