world,q,sub,Kc,seed,arm,C,m
real,19,0,3,11,real,0.0009978913922178423,19
real,19,0,3,11,perm,-0.0008680678333611302,19
real,19,0,3,29,real,0.0014751477640927435,19
real,19,0,3,29,perm,-0.0008225629035671922,19
real,19,0,5,11,real,0.0009603101137439785,19
real,19,0,5,11,perm,-0.0009968289355365423,19
real,19,0,5,29,real,0.001964631611901968,19
real,19,0,5,29,perm,-0.0015821086191192268,19
real,19,0,8,11,real,0.008155735214756987,19
real,19,0,8,11,perm,-0.0018208310405626316,19
real,19,0,8,29,real,0.008068477569829424,19
real,19,0,8,29,perm,-0.001597229721035709,19
real,19,0,12,11,real,0.015699806274420802,19
real,19,0,12,11,perm,-0.002423603957929954,19
real,19,0,12,29,real,0.012014147135360864,19
real,19,0,12,29,perm,-0.002587538017550961,19
real,19,0,16,11,real,0.016832349886385267,19
real,19,0,16,11,perm,-0.004690070764833965,19
real,19,0,16,29,real,0.011640097137154082,19
real,19,0,16,29,perm,-0.0029257356788041644,19
real,19,1,1,11,real,0.00040376156499577487,19
real,19,1,1,11,perm,-4.513379359516456e-05,19
real,19,1,1,29,real,-9.804103467925263e-05,19
real,19,1,1,29,perm,-0.00015509926703538568,19
real,19,1,2,11,real,0.0016538609565946993,19
real,19,1,2,11,perm,-0.0004010221503766287,19
real,19,1,2,29,real,0.0010550795528349033,19
real,19,1,2,29,perm,-0.0005773032719668114,19
real,19,1,3,11,real,0.00241501743528838,19
real,19,1,3,11,perm,-0.0002721776514853502,19
real,19,1,3,29,real,0.0015724952139782866,19
real,19,1,3,29,perm,-0.0009405930674761809,19
real,19,1,5,11,real,0.002356542648264015,19
real,19,1,5,11,perm,-0.001325437343817737,19
real,19,1,5,29,real,0.0009816514984174463,19
real,19,1,5,29,perm,-0.0011204522093828384,19
real,19,1,8,11,real,0.007249302692048487,19
real,19,1,8,11,perm,-0.0014285458398476392,19
real,19,1,8,29,real,0.004103021117495831,19
real,19,1,8,29,perm,-0.0017898391981692185,19
real,19,1,12,11,real,0.013075709641332867,19
real,19,1,12,11,perm,-0.002707925239973208,19
real,19,1,12,29,real,0.009520304820450742,19
real,19,1,12,29,perm,-0.0022475838956507177,19
real,19,1,16,11,real,0.021155452437414013,19
real,19,1,16,11,perm,-0.0035572350660831864,19
real,19,1,16,29,real,0.01665339714382541,19
real,19,1,16,29,perm,-0.00343313319369154,19
real,19,2,1,11,real,-0.00020042562129829466,19
real,19,2,1,11,perm,-2.677562319408633e-05,19
real,19,2,1,29,real,0.00048023900777594,19
real,19,2,1,29,perm,-0.0003175780453161803,19
real,19,2,2,11,real,-0.00030205828580120997,19
real,19,2,2,11,perm,-1.018667040719734e-07,19
real,19,2,2,29,real,0.000643165828649428,19
real,19,2,2,29,perm,-0.00031318896352461323,19
real,19,2,3,11,real,0.001515860574124006,19
real,19,2,3,11,perm,-0.0002749836061475275,19
real,19,2,3,29,real,0.0017140656767272722,19
real,19,2,3,29,perm,-0.0008579358880025367,19
real,19,2,5,11,real,0.002482223487197177,19
real,19,2,5,11,perm,-0.000812716025521798,19
real,19,2,5,29,real,0.0024114756554936,19
real,19,2,5,29,perm,-0.0010336216868498393,19
real,19,2,8,11,real,0.011252494863210005,19
real,19,2,8,11,perm,-0.001809507998913884,19
real,19,2,8,29,real,0.010980571082304436,19
real,19,2,8,29,perm,-0.0015722508946881542,19
real,19,2,12,11,real,0.01542444495531159,19
real,19,2,12,11,perm,-0.0018734618975597694,19
real,19,2,12,29,real,0.014586570186572834,19
real,19,2,12,29,perm,-0.001804346521815936,19
real,19,2,16,11,real,0.020845716496267652,19
real,19,2,16,11,perm,-0.0017471996843110293,19
real,19,2,16,29,real,0.020198873783346616,19
real,19,2,16,29,perm,-0.002131938863384697,19
real,29,0,1,11,real,-0.00026067810821017723,22
real,29,0,1,11,perm,5.1435982611480746e-05,22
real,29,0,1,29,real,-0.00012292717674466935,22
real,29,0,1,29,perm,4.092653279719194e-06,22
real,29,0,2,11,real,-0.00010346903355684667,22
real,29,0,2,11,perm,-7.565900988004692e-05,22
real,29,0,2,29,real,4.7932664100192035e-05,22
real,29,0,2,29,perm,8.345878481341718e-05,22
real,29,0,3,11,real,-0.00022108345943017138,22
real,29,0,3,11,perm,-0.0003789435580183742,22
real,29,0,3,29,real,6.162877081539175e-05,22
real,29,0,3,29,perm,0.00016556957995894628,22
real,29,0,5,11,real,-4.117944150661135e-05,22
real,29,0,5,11,perm,-0.0005564280112657638,22
real,29,0,5,29,real,0.00034822969162773276,22
real,29,0,5,29,perm,0.000195775615338456,22
real,29,0,8,11,real,0.00018362790428039233,22
real,29,0,8,11,perm,-0.0009663871273309921,22
real,29,0,8,29,real,0.00042567508654867137,22
real,29,0,8,29,perm,-0.0007156860270460808,22
real,29,0,12,11,real,0.000606128448485288,22
real,29,0,12,11,perm,-0.001411846871218314,22
real,29,0,12,29,real,0.0002577953186944093,22
real,29,0,12,29,perm,-0.001524093596481757,22
real,29,0,16,11,real,0.0009771177320001545,22
real,29,0,16,11,perm,-0.0015794132848419018,22
real,29,0,16,29,real,-0.0004354475027271709,22
real,29,0,16,29,perm,-0.0020545041936963493,22
real,29,1,1,11,real,6.682508459987524e-05,22
real,29,1,1,11,perm,9.653047580493457e-06,22
real,29,1,1,29,real,9.887551151488427e-05,22
real,29,1,1,29,perm,-0.0004288773745911856,22
real,29,1,2,11,real,-8.109089944696724e-05,22
real,29,1,2,11,perm,8.533863334370118e-05,22
real,29,1,2,29,real,0.0001184368704574279,22
real,29,1,2,29,perm,-0.0006917847433905999,22
real,29,1,3,11,real,-0.00010184037585159178,22
real,29,1,3,11,perm,0.00013819740268572467,22
real,29,1,3,29,real,-6.269406383863085e-05,22
real,29,1,3,29,perm,-0.0007650568479787845,22
real,29,1,5,11,real,-0.0002401359731555308,22
real,29,1,5,11,perm,-0.00010269070375457101,22
real,29,1,5,29,real,0.0002976998633769101,22
real,29,1,5,29,perm,-0.0014890180167264067,22
real,29,1,8,11,real,0.00043666713628376375,22
real,29,1,8,11,perm,-0.0005773189702760195,22
real,29,1,8,29,real,0.000866846838346369,22
real,29,1,8,29,perm,-0.0021575588878465224,22
real,29,1,12,11,real,0.001269364469159373,22
real,29,1,12,11,perm,-0.0009510858531358579,22
real,29,1,12,29,real,0.001676954598407443,22
real,29,1,12,29,perm,-0.0026721658311091856,22
